Niveau;Kanas;Kanjis;Francais
N3;うったえる;訴える [一段];solliciter, faire appel à, poursuivre une personne en justice, se plaindre auprès de
N2;うどん;饂飩;udon (nouilles japonaises préparées avec de la farine de blé)
N1;うめぼし;梅干;umeboshi (aliment japonais réalisé avec des prunes salées)
N2;うらむ;恨む [亓段];maudire, avoir de la rancœur contre quelqu'un, en vouloir à
N1;うるおう;潤う [亓段];être humide, être moite, tirer profit de quelque chose
N2;うろうろ;;"flânant, marchant sans but"""""
N4;うん;;ouais, ok, yeah (marque l'accord)
N2;うんと;;beaucoup, une grande quantité
N1;エアメール;;courrier par avion
N5;ええ;;oui, en effet, c'est cela
N2;ええと;;voyons voir..., et bien…
N4;エスカレーター;;escalateur
N4;えだ;枝;branche
N2;エチケット;;étiquette, règles de bienséance, protoco
N1;えつらん;閲覧;inspection, relevé
N3;エネルギー;;énergie
N2;えのぐ;絵の具;peinture (matière)
N2;エプロン;;tablier
N1;エレガント;;élégant
N5;エレベーター;;ascenseur
N3;えんぎ;演技;jeu d'un acteur, interprétation, performance d'un acteur
N1;エンジニア;;ingénieur
N3;エンジン;;moteur
N2;"オイル""";;huile, pétrole
N1;おいる;老いる [一段];vieillir
N1;おう;負う [亓段];porter sur soi, devoir quelque chose à quelqu'un,assumer
N1;オーケー;;OK
N1;おおげさ;大げさ;exagéré
N2;オーケストラ;;orchestre
N4;オートバイ;;moto
N1;オートマチック;;automatique
N2;オートメーション;;automatisation
N1;おおはば;大幅;grande échelle, drastique
N1;オープン;;ouvert
N2;おおよそ;大凡;grossièrement, approximativement, en règle générale
N2;おかけください;お掛け下さい;asseyez-vous s'il vous plait, veuillez vous asseoir s'il vous plait
N2;おかず;;o-kazu (plat principal accompagnant le riz dans les repas japonais)
N2;おかまいなく;お構いなく;ne faites pas attention à moi, ne vous inquiétez pas pour moi
N2;おくりがな;送り仮名;partie écrite en kana après un kanji pour former unmot
N1;おごる;奢る・驕る [亓段];offrir une tournée, être extravagant, vivre dans le luxe
N1;おさまる;収まる・納まる・治まる[亓段];être à sa place, être installé, s'établir, être délivré, être obtenu
N2;おじぎ;御辞儀;révérence pour saluer, salutation (en s'inclinant en avant)
N1;おしむ;惜しむ [亓段];être parcimonieux, être frugal, être peu disposé à faire, chérir, estimer
N2;おじゃまします;お邪魔します;excusez-moi de vous déranger, expression utilisée en entrant dans la maison de quelqu'un d'autre
N1;おしよせる;押し寄せる [一段];se rapprocher, fondre sur, déferler sur, inonder, submerger
N1;おちこむ;落ち込む [亓段];être démoralisé, être triste, s'effondrer (l'économie, les affaires…), tomber dans (un trou)
N1;おっかない;;effrayant, terrifiant, énorme
N1;おどおど;;craintivement, avec hésitation
N2;おどかす;脅かす・威かす・嚇かす[亓段];menacer, intimider, forcer, surprendre
N5;おとこ;男;homme
N5;おとこのこ ;男の子 ;garçon
N3;おとこのひと;男の人;homme, personne de sexe masculin
N2;おとしもの;落し物;objet perdu
N4;おとす;落とす [五段];laisser tomber, faire tomber
N5;おととい・いっ さくじつ;一昨日;avant-hier
N5;おととし・いっ さくねん;一昨年;l'année avant l'année dernière, il y a 2 ans
N5;おとな;大人;adulte, grande personne
N2;おとなしい;大人しい;docile, calme
N4;おどり;踊り;danse
N3;おとる ;务る [五段] ;être inférieur à, être plus petit que
N4;おどる ;踊る [五段] ;danser
N2;おどろかす; 驚かす [五段]; surprendre, effrayer
N4;おどろく ;驚く [五段] ;être surpris, être étonné
N5;おなか;お腹;ventre, estomac
N5;おなじ ;同じ;identique, égal
N3;おに;鬼;démon, monstre
N5;おにいさん;お兄さん;grand-frère (polie)
N5;おねえさん;お姉さん;grande-soeur (polie)
N5;おねがいします;お願いします;s'il vous plaît
N3;おのおの・それぞれ;各々;respectivement, chacun respectivement, tour à tour
N5;おば;伯母・叔母;tante
N5;おばあさん;お婆さん;grand-mère (polie)
N5;おばさん 伯母さん;叔母さん;tante (polie)
N5;おはようござい;お早う御座います;bonjour (le matin)
N3;かかえる;抱える [一段];tenir dans les bras, avoir (des problèmes, des dettes…), recruter, embaucher
N1;かかげる;掲げる [一段];faire paraître un article, publier, étendre (un drapeau)
N5;かかる;掛かる [亓段];prendre (du temps, de l'argent), être accroché, être suspendu, être couvert (par une assurance, un contrat…)
N2;かかわる;係わる [亓段];être lié à, être en rapport avec, être influencé par, être affecté par
N5;かぎ;鍵;clé
N2;かきとめ;書留;inscription, enregistrement (d'une personne), prise de note à l'écrit
N1;カクテル;;cocktail
N5;かける;掛ける [一段];accrocher, porter (des lunettes...), appeler (au téléphone), prendre, dépenser (de l'argent, du temps)
N3;かける;欠ける [一段];être dépourvu, être manquant, être absent, être déficitaire
N3;かげん;加減;condition, état de santé, degré, mesure, addition et soustraction
N1;かさばる;嵩張る [亓段];être volumineux, être intransportable, être encombrant
N4;かしこまりました;畏まりました;bien entendu, bien sûr
N2;かじる;齧る [亓段];ronger, mordiller, mâcher, grignoter, avoir quelques notions en
N2;ガス;;gaz
N2;カセット;;cassette
N4;ガソリン;;essence
N4;ガソリンスタンド;;station-essence
N1;かたこと;片言;le fait de parler de manière hésitante, de manière maladroite
N2;かたづく;片付く [亓段];être rangé, être mis en ordre, être résolu, être terminé
N2;かたむく;傾く [亓段];s'incliner, pencher, décliner, se coucher (pour le soleil), vaciller
N3;がっかりする;;être déçu, être découragé, être démoralisé
N1;がっくりする;;être navré, être défait
N1;がっしり;;fermement, solidement
N1;がっちり;;fermement, solidement bâti
N1;カット;;couper
N1;カップ;;bol, tasse, coupe
N1;カテゴリー;;catégorie
N2;かなづかい;仮名遣い;utilisation des kanas (syllabaires) pour écrire le japonais
N2;カバー;;couverture, pochette, couvercle
N1;かばう;庇う [亓段];protéger quelqu'un, plaider en faveur de quelqu'un,défendre
N2;かぶせる;被せる [一段];couvrir avec quelque chose, verser un liquide, recouvrir
N5;かぶる;被る [亓段];porter quelque chose sur la tête, être recouvert (d'eau, de poussière…), supporter (un défaut, un manque…)
N1;かぶれる;気触れる [一段];développer des rougeurs ou une inflammation, réagir à quelque chose
N2;ガム;;chewing-gum
N1;カムバック;;come-back, retour (à la mode)
N5;カメラ;;appareil photo
N1;カメラマン;;cadreur, cameraman
N4;かよう;通う;aire des aller-et-retours, faire la navette, fréquenter, aller à (une école, une église...)
N2;カラー;;couleur
N4;ガラス;;verre (matière)
N2;がる;;exprime l'envie de quelqu'un d'autre
N1;カルテ;;enregistrement clinique
N4;かれ;彼;il, son (neutre)
N1;カレー;;curry
N1;ガレージ;;garage
N5;カレンダー;;calendrier
N2;カロリー;;calorie
N1;かわす;交わす [亓段];échanger (des salutations, des messages…), croiser, éviter, parer
N2;かわる;代わる・替わる・換わる[亓段];être changé, être remplacé
N2;かんさい;関西 np;Kansai (région Sud-Ouest du Japon vers Osaka et Kyoto)
N2;がんじつ・がんにち;元日;jour de l'An
N2;かんしょう;鑑賞;appréciation (d'un art par exemple), sens de l'esthétisme
N3;かんどう;感動;profonde émotion, excitation, le fait d'être profondément touché par quelque chose
N1;カンニング;;tricherie
N2;かんねん;観念;idée, notion, sens (du devoir par exemple),résignation, abandon
N2;かんわ;漢和;chinois-japonais (comme un dictionnaire par exemple)
N1;きかざる;着飾る [亓段];se pomponner, s'habiller avec de beaux vêtements, se parer
N3;きかん;機関;mécanisme, équipement, moteur, institution,organisation
N3;きじ;生地;étoffe, tissu, vraie nature de quelqu'un, poterie non vernie, pâte non préparée
N2;きせる;着せる [一段];habiller quelqu'un, vernir, revêtir, accuser quelqu'un, imputer à
N5;ギター;;guitare
N1;きちっと;;exactement, parfaitement
N3;きちんと;;avec exactitude, avec précision, avec soin
N3;きつい;;fort, déterminé, serré (en parlant d'un vêtement), intense, difficile
N1;きっかり;;clairement, manifestement, distinctement
N2;ぎっしり;;fermement, complètement, entièrement
N1;きっちり;;précisément, bien fort, fermement
N1;きっぱり;;clairement, manifestement, distinctement
N1;キャッチ;;attraper, prendre
N3;キャプテン;;capitaine
N1;キャリア;;carrière
N2;ギャング;;gang, bande
N2;キャンパス;;campus universitaire
N3;キャンプ;;camping, camp
N5;きょう・こんにち;"今日""";aujourd'hui
N2;きょうしゅくです;恐縮です;je suis vraiment désolé, je m'en excuseprofondément
N1;きり;;depuis que
N1;ぎり;義理;honneur, sens du devoir, dette morale, obligation sociale
N2;きる;斬る [亓段];tuer quelqu'un à l'aide d'une lame (d'un couteau, d'une épée…)
N2;きる;;suffixe pour indiquer qu'une action a été accomplie totalement en usant d'un effort particulier pour la réussir
N3;きれ;切れ;étoffe, morceau de tissu, tranche, morceau,compteur pour les tranches
N3;きれる;切れる [一段];bien couper, être tranchant, se casser, rompre, être blessé, manquer de, battre (un temps par exemple), perdre son sang-froid, s'effondrer
N2;きろくする;記録する;enregistrer, documenter, atteindre un record, atteindre une valeur
N5;キロメートル;;kilomètre
N1;クイズ;;quiz
N3;くう;食う [亓段];anger (vulgaire), vivre, piquer (comme un insecte), taquiner, consommer (du temps ou des ressources)
N2;クーラー;;air conditionné, climatiseur
N1;くき;茎;tige (d'une fleur), pied (d'un champignon), queue (d'une feuille)
N1;くぐる;潜る [亓段];passer à travers, passer sous, plonger dans l'eau, s'enfoncer dans le sous-sol, esquiver, évier
N1;くっきり;;à poings fermés (dormir), profondément (en parlant du sommeil)
N5;くつした;;chaussettes
N3;ぐっすり;;à poings fermés (dormir), profondément (en parlant du sommeil)
N1;ぐっと;;fermement, beaucoup
N2;くぶん;区分;segmentation, classification, division, voie decirculation
N3;くむ;組む [亓段];réunir, assembler, unir, produire (une émission, une série…)
N2;くむ;汲む [亓段];puiser (de l'eau), pomper (un liquide), boire (de l'alcool), sympathiser avec
N2;くもる;曇る [亓段];s'assombrir, se couvrir (en parlant du temps), devenir nuageux
N2;くやむ;悔やむ [亓段];faire ses condoléances, regretter, se lamenter sur, se repentir
N5;くらい・ぐらい;;environ
N3;くらし;暮らし;subsistance, vie
N5;クラス;;classe
N3;くらす;暮らす [亓段];vivre, passer du temps
N3;クラッシック;;classique
N4;くらべる;比べる [一段] ;Comparer
N5;グラム;;gramme
N3;グランド;;glande, sol
N2;クリーニング;;nettoyage, entretien
N3;クリーム;;crème
N4;くらべる;比べる [一段];comparer
N3;くりかえす;繰り返す [亓段];répéter, refaire
N3;クリスマス;;Noël
N3;グループ;;groupe
N1;グレー;;gris
N1;クレーン;;grue (matériel de chantier ou animal)
N2;くわえる;咥える [一段];tenir quelque chose dans sa bouche (une cigarette,une pipe…)
N1;ぐん;群;groupe d'animaux, groupe au sens mathématique duterme
N3;げ;下;manque de hauteur, infériorité, dernier tome d'un ensemble de 2 ou 3
N1;けいい;経緯;cours des choses, évènements, circonstances, position
N3;けいき;景気;situation (commerciale ou des affaires), activité (du marché)
N1;けいさい;掲載;parution, publication (d'un article dans un journal par exemple), insertion
N1;けいさいする;掲載する;publier, faire paraître (un article dans un journal parexemple)
N2;けいしき;形式;forme, apparence, formalité, style, système,méthode, expression mathématique
N4;ケーキ;;gâteau
N3;ケース;;caisse, valise, cas
N3;ゲーム;;jeu
N1;ゲスト;;invité, convive
N1;けだもの・けもの;獣;bête, animal
N1;げっしゃ;月謝;frais mensuel pour des cours (de musique, de sport, de langue…)
N1;けっせい;結成;création, formation (d'un groupe, d'une entreprise…)
N1;げっそりする;;perdre du poids, être découragé
N2;けはい;気配;signe, indication, tendance, cotation (boursière entre autres)
N4;けれど;;mais
N4;けれども;;mais
N2;けわしい;険しい;accidenté, rude, escarpé, inaccessible, aiguisé (pour le regard ou la parole)
N1;こうえん;公演;représentation publique (concert, pièce de théâtre…), démonstration de sumos dans un pays étranger
N3;こうさい;交際;association, relation, amitié, compagnie, connaissance
N2;こうし;講師;maître de conférence, professeur qui donne un cours magistral
N1;こうじょ;控除;retenue, prélèvement, déduction (d'une taxe, d'un montant), décompte, remise
N4;こうとうがっこう;高等学校;lycée
N4;こうば・こうじょう;工場;usine, atelier
N2;コース;;cours, parcours
N3;コーチ;;coach, entraineur
N5;コート;;manteau, veste, court (de tennis, de basket…)
N3;コード;;code, corde
N1;コーナー;;angle, coin
N5;コーヒー;;café
N2;コーラス;;chœur de chanteurs, chorale
N3;ゴール;;but
N2;ごくろうさま;ご苦労様;je suis reconnaissant de vos efforts, merci pour vos efforts
N2;こころあたり;心当たり;le fait d'avoir une idée ou des connaissances sur quelque chose
N2;こころえる;心得る [一段];avoir des connaissances approfondies sur, être bien renseigné sur
N1;こずえ;梢;sommet d'un arbre, cime d'un arbre, extrémité d'une branche
N1;こたつ;炬燵;kotatsu (table basse japonaise munie d'un chauffage)
N5;ごちそうさまでした;"ご馳走様でした""";merci pour ce repas (après avoir mangé)
N5;こちらこそ;;de même
N1;こつ;;savoir-faire, astuce, truc, tour de main
N2;コック;;cuisinier, robinet
N2;こっそり;;secrètement, furtivement
N5;コップ;;verre (contenu)
N3;コピー;;copie, photocopie
N2;ごぶさたする;ご無沙汰する;ne pas écrire ou contacter quelqu'un depuis quelques temps
N2;こぼれる;零れる [一段];répandre, déborder, s'échapper (des larmes, unsourire)
N1;コマーシャル;;annonce publicitaire
N2;ゴム;;gomme
N5;ごめんください;ご免下さい;puis-je rentrer ? (dans la maison de quelqu'un d'autre)
N3;これら;此れ等;ces
N5;ころ・ごろ;;vers (pour l'heure)
N2;コンクール;;concours
N2;コンクリート;;béton
N4;コンサート;;concert
N2;コンセント;;prise de courant, consentement
N1;コンタクトレンズ;;lentille de contact
N1;コンテスト;;concours
N4;こんど;今度;cette fois, la prochaine fois
N1;コントロール;;contrôle
N5;こんな;;cette sorte de
N3;こんなに;;de cette manière, de cette façon
N1;コンパス;;compas, boussole
N3;コンピューター;;ordinateur
N2;さあ;;allez, viens ! Par ici !
N2;サークル;;cercle
N3;サービス;;service, support
N1;サイクル;;cycle
N1;サイズ;;size
N1;さいせい;再生;régénération, retour à la vie, réanimation, écoute d'un enregistrement
N2;さいそく;催促;demande pressante, requête, réclamation, revendication
N1;さいよう;採用;admission (d'une personne), engagement (de quelqu'un)
N2;サイレン;;sirène
N3;さいわい;幸い;bonheur, félicité
N1;さかのぼる;逆上る [亓段];faire rétroactivement, remonter (un cours d'eau), remonter (à une certaine date)
N1;さじ;些事;détail, broutille, quelque chose de petit et d'insignifiant
N4;さっき;;il y a longtemps
N2;さっさと;;rapidement
N1;さっと;;soudainement, rapidement
N3;ざっと;;grossièrement, rapidement, approximativement
N3;さっぱりする;;se sentir à l'aise, se sentir libéré
N3;さて;偖;et bien (pour faire la transition entre deux sujets différents)
N1;サボる;;sécher les cours
N4;さま;様;suffixe pour les noms (Mr, Mme), apparence, manière
N2;さめる;冷める [一段];refroidir, se refoidir, se calmer, baisser (fièvre, colère)
N5;さよなら;;au revoir
N4;サラダ;;salade
N3;さらに;更に;d'ailleurs, de plus, en plus
N2;サラリーマン;;employé, cadre
N5;さん;;suffixe pour les noms (Mme, Mr)
N1;サンキュー;;merci
N1;サンタクロース;;le Père Noël
N4;サンダル;;sandale
N2;さんち;産地;zone de production
N4;サンドイッチ;;sandwich
N2;サンプル;;échantillon
N1;じ;次;suivant, compteur pour les ordres, les séquences, le nombre de fois
N2;シーツ;;drap
N1;しいて;強いて;avec force
N1;シート;;siège, feuille
N1;ジーパン;;jeans (le pantalon)
N1;しいれる;仕入れる [一段];mettre en stock, stocker, renouveler le stock, se procure
N3;ジーンズ;;jeans
N2;しいんと;;silencieusement, calmement
N1;しかけ;仕掛け;appareil, mécanisme, gadget, à moitié fini, défi,commencement, attaque
N1;しかける;仕掛ける [一段];commencer, poser des mines, attaquer, faire la guerre, défier
N1;システム;;système
N1;したじ;下地;fondation, base, aptitude, connaissances élementaires de quelque chose
N1;じつぎょうか;实業家;businessman, homme d'affaires, industriel (personne)
N1;じっくり;;consciencieusement
N1;しつける;仕付ける [一段];être habitué à un travail, commencer à faire, faufiler (en couture)
N2;しつこい;;tenace, obstiné
N1;じつじょう;实情;réelle condition, circonstances actuelles, véritable état des affaires
N3;じっと;;fermement, fixement
N5;しつれいしました;"失礼しました""";excusez-moi, je suis désolé
N1;シナリオ;;scénario
N1;しぶとい;;têtu, obstiné
N3;しまった;;zut ! Merde !
N2;しめきる;締め切る [亓段];clôturer, fermer, condamner (une porte, une ouverture)
N2;ジャーナリスト;;journaliste
N1;ジャズ;;jazz
N1;しゃたく;社宅;logement que possède une entreprise pour ses employés
N5;シャツ;;chemise, chemisier
N2;しゃっくり;吃逆;hoquet
N2;シャッター;;volet, store
N4;ジャム;;confiture
N5;シャワー;;douche
N2;じゃんけん;じゃん拳;jeu du pierre-feuille-ciseaux
N1;ジャンパー;;pull-over
N1;ジャンプ;;saut
N1;ジャンボ;;éléphant, géant
N1;ジャンル;;genre
N1;しゅうぎょう;修行;poursuite de la connaissance, apprentissage, formation, discipline
N2;しゅうしょくする;就職する;trouver un emploi
N3;ジュース;;jus
N3;しゅうせいする;修正する;altérer, modifier, corriger, rectifier, retoucher
N2;しゅうへん;周辺;circonférence, environs, périphérie, périphériques informatiques
N1;しゅうよう;収容;héberger, réceptionner, admettre, introduire (dans un dictionnaire)
N2;じゅうりょう;重量;pesanteur, poids, poids lourd (pour un sportif, une voiture…)
N2;しょう;背負う [亓段];être surchargé avec, porter sur son dos ou ses épaules
N1;しよう;仕様;méthode, manière, ressources, spécifications techniques
N2;じょう;畳;compteur pour les tatamis (unité de mesure de longueur )
N1;じょうい;上位;poids fort, supérieur (en terme de rang), unité centrale
N2;しょうしょうおまちください;尐々お待ちください;un instant s'il vous plaît
N1;じょうりく;上陸;débarquement, le fait de toucher la côté (pour un typhon par exemple)
N1;ショー;;show
N4;しょくりょうひん;食料品;nourriture
N1;ショック;;choc
N1;しょっちゅう;;constamment, toujours
N2;シリーズ;;commerce, boutique, magasin
N3;スイッチ;;interrupteur
N4;すいどう;水道;approvisionnement d'eau, conduite d'eau, distribution d'eau
N2;スーツ;;costume, tailleur
N4;スーツケース;;valise
N4;スーパー;;supermarché
N1;すうはい;崇拝 ;culte, adoration, adulation
N3;スープ;;soupe, bouillon
N5;スカート;;jupe
N2;スカーフ;;écharpe
N2;ずかん;図鑑;livre d'images, encyclopédie illustrée (notamment pour les enfants)
N3;スキー;;ski
N2;スクール;;école
N3;スケート;;patinage
N2;スケジュール;;horaire, programme
N3;すすめる;勧める [一段];recommander, conseiller, encourager, proposer (du vin)
N3;スター;;star, vedette
N2;スタート;;départ, démarrage
N3;スタイル;;style
N1;スタジオ;;studio
N1;すたれる;廃れる [一段] ;se démoder, vieillir, devenir obsolète
N3;スタンド;;stand, tribunes
N2;スチュワーデス;;hôtesse de l'air
N5;ずつ;;chaque
N3;ずつう;頭痛 ;migraine 
N4;すっかり;;tous, complètement
N2;すっかり;;complètement, entièrement
N2;すっきり;;bien fait, clair, ordonné
N2;すっと;;directement, tout d'un coup, doucement
N4;ずっと;;très, complètement, pendant longtemps
N2;すっぱい;酸っぱい;acide, aigre
N2;ステージ;;scène, prestation scénique, représentation
N4;ステレオ;;chaîne stéréo
N5;ストーブ;;chauffage
N2;ストッキング;;bas (fine et longue chaussette portée par les femmes)
N1;ストライキ;;grève
N1;ストレス;;stress, tension
N1;ストロー;;paille
N1;ストロボ;;stroboscope
N1;すばしこい;;agile, habile, futé, rapide
N1;ずばり;;franchement, une fois pour toutes
N2;スピーカー;;haut-parleur
N3;スピーチ;;discours, allocution
N1;スピード;;vitesse
N5;スプーン;;cuillère
N1;ずぶぬれ;ずぶ濡れ;imbibé, mouillé
N1;スプリング;;printemps
N1;スペース;;espace
N5;スポーツ;;sport
N1;スポーツカー;;voiture de sport
N5;ズボン;;pantalon
N2;スマート;;élégant, chic, stylé
N2;スライド;;diapositive
N2;ずらす;滑らす [亓段];remettre à plus tard, retarder
N1;スラックス;;pantalon
N1;ずらっと;;aligné en ligne ou en colonne
N5;スリッパ;;pantoufle
N4;すると;;ensuite
N3;するどい;;aiguisé, pointu
N1;ずれ;;décalage
N2;すれちがう;すれ違う [亓段];se croiser sans se rencontrer, se manquer, être en désaccord
N1;すんなり;;le fait de réussir facilement, sans problème
N1;せい;制;système, organisation, régime, contrôle, gouvernement
N5;セーター;;pull
N1;セール;;vente
N1;セクション;;section
N1;セックス;;rapport sexuel, sexe
N3;セット;;ensemble, manche (au tennis), série
N2;ゼミ;;séminaire
N2;セメント;;ciment
N2;せりふ;台詞;discours, parole, remarque
N1;セレモニー;;cérémonie
N5;ゼロ;;zéro
N2;ぜんご;前後;avant et après, devant et derrière, environ, à peu près
N1;せんこう;先行;départ en premier, le fait d'aller en avant, de tête (devant)
N1;センス;;bon goût (pour la musique, le style…)
N3;センター;;centre
N2;センチ;;centimètre
N4;そう;;ainsi
N1;そうかん;創刉;lancement (d'un journal par exemple), premier numéro
N1;そうさく;捜索;recherche, enquête (particulièrement pour quelqu'un ou quelque chose de disparu)
N1;そえる;添える [一段];accompagner, ajouter, s'attacher à
N1;ソース;;source
N1;そくする;即する;se conformer à, consentir avec, être adapté à, être basé sur
N2;そそっかしい;;étourdi, distrait, imprudent
N4;そつぎょう;卒業;obtention d'un diplôme
N1;ソックス;;chaussette
N3;そっくり;;ressemblant, semblable
N3;そっと;;doucement, furtivement
N3;ソファー;;canapé, sofa, divant
N1;そむく;背く [亓段];s'opposer à, désobéir, aller à l'encontre de, ne pas respecter
N4;其れはいけませんね;;c'est ennuyeux
N1;ソロ;;solo
N2;そろう;揃う [亓段];être tous présents, devenir complet, être égal, rassembler
N4;そろそろ;;doucement, petit à petit
N1;ぞんざい;;grossier, négligé
N4;そんな;;une telle (chose), une pareille (chose)
N4;そんなに;;comme, tellement
N1;ダース;;douzaine
N2;だい;題;titre, sujet, thème
N1;タイトル;;titre
N1;タイピスト;;dactylo
N4;タイプ;;type, style
N3;タイプライター;;machine à écrire
N1;だいべんする;代弁する;agir pour quelqu'un, parler pour quelqu'un, payer par procuration
N1;タイマー;;minuterie
N1;たいまん;怠慢;négligence, paresse, procastination
N1;タイミング;;horaire prévu, timing
N1;タイム;;temps
N1;タイムリー;;opportun, dans les délais
N2;タイヤ;;pneu
N2;ダイヤグラム;;diagramme
N2;ダイヤル;;cadran, composer (un numéro)
N1;タイル;;tuile, carreau
N1;ダウン;;à terre
N3;タオル;;serviette de toilette
N4;たおれる;倒れる [一段];s'effondrer
N3;だが;;mais, cependant
N1;だかい;打開;sortie d'une impasse, dénouement d'une situation difficile
N4;だから;;donc
N5;タクシー;;taxi
N3;だけど;;cependant
N2;たちまち;忽ち;dans un instant, soudainement, d'un coup, tout de suite
N3;たった;;seulement (+nombre), uniquement
N1;だったい;脱退;retrait, abandon, sécession
N3;だって;;Seulement (+nombre), uniquement
N1;たっとい;貴い;précious, cher, noble, sans prix
N3;たっぷり;;abondamment
N2;たっぷり;;plein, rempli
N1;たてまえ;建前;position que l'on adopte en public (par opposition à son opinion personnelle que l'on garde)
N2;たとえる;例える [一段];comparer, illustrer avec un exemple, utiliser une comparaison
N1;たどりつく;辿り着く [亓段];arriver quelque part après avoir lutté, parvenir à atteindre tout juste quelque chose, finalement arriver à
N1;たなごころ・てのひら;掌;paume de la main
N2;たび;足袋;tabi (chaussette japonaise dont le gros orteil est séparé
N1;だぶだぶ;;ample, desserré
N2;ダブル;;double
N2;ダム;;barrage, muet, idiot
N2;だらけ;;être plein de (connotation négative), être couvert de
N2;だらしない;;négligé, malpropre, relaché
N1;たるみ;弛み;"relâchement, ralentissement, manque d'intérêt,déception"""""
N1;タレント;;talent, star, vedette
N1;タワー;;tour
N3;ダンス;;danse
N1;たんだい;短大;école de premier cycle universitaire (2 ou 3 ans après le lycée)
N1;ダンプ;;décharge, tas d'ordures
N3;チーズ;;fromage
N3;チーム;;équipe
N1;チームワーク;;travail d'équipe
N3;ちえ;知恵;sagesse, intelligence, raison, bon sens
N1;チェンジ;;changement, échange, monnaie
N2;ちかづく;近づく [亓段];se rapprocher, devenir proche, se lier d'amitié avec quelqu'un
N2;チップ;;pourboire
N1;チャイム;;carillon
N1;チャネル;;chaîne de TV
N1;ちゃのま;茶の間;salle de séjour (dans une maison japonaise traditionnelle)
N1;ちゃのゆ;茶の湯;cérémonie du thé
N1;ちやほやする;;choyer, dorloter, gâter
N5;ちゃわん;茶碗 ;bol à riz, tasse à thé
N3;チャンス;;chance, occasion
N4;駐車場;;place de parking
N2;ちゅうせい;中性;neutralité (électrique, chimique…), indifférence, androgyne, neutre (en grammaire)
N3;ちゅうもく;注目;attention (le fait de faire attention à quelque chose), observation
N3;ちょうし;調子;rythme, tonalité, humeur, état d'esprit, état desanté, tendance
N2;ちょうたん;長短;avantages et inconvénients, points forts et points faibles, long et court
N1;重宝;;pratique, utile
