"27","N2","ところ (に/で/へ/を)","ところ（に/で/を）: juste au moment où ~","Permet d’indiquer un point dans le temps : juste avant, pendant ou après une action","Verbe passé / neutre / en 〜ている + ところ（に/で/を）","今出かけるところです。\
掃除しているところに客が来た。\
帰ったところで電話が鳴った。"
"28","N2","とおりに / どおりに","とおりに : comme ~ / conformément à ~","Indique que l’on agit selon un modèle, une consigne ou une méthode","Verbe en forme neutre + とおりに / Nom + の + とおりに","説明書のとおりに組み立ててください。\
先生の言ったとおりにやったら、うまくいった。"
"29","N2","として","として : en tant que ~ / comme ~","Permet de désigner un rôle, un statut, une fonction","Nom + として","彼は医者として働いている。\
日本代表として大会に出る。"
"30","N2","ついでに","ついでに : tant que j’y suis ~ / pendant que ~","Exprime qu’une action est effectuée en profitant d’une autre","Verbe en forme neutre / en 〜た + ついでに","駅へ行くついでに、手紙を出してきて。\
掃除したついでに、模様替えもした。"
"31","N2","うちに","うちに : pendant que ~ / avant que ~","Indique une action à accomplir avant qu’une situation ne change","Verbe forme neutre ou négative + うちに","若いうちに海外旅行したい。\
熱いうちに食べてください。"
"32","N2","〜たところ","〜たところ : juste après avoir ~ / en essayant de ~","Exprime le résultat immédiat ou inattendu d’une action accomplie","Verbe en 〜た + ところ","新製品を使ってみたところ、非常に便利だった。\
メールを送ったところ、すぐに返事が来た。"
"33","N2","〜たとたん(に)","〜たとたん(に) : juste après avoir ~, alors ~","Indique une action soudaine et immédiate après un événement","Verbe en 〜た + とたん(に)","外に出たとたん、雨が降り出した。\
顔を見たとたんに泣き出した。"
"34","N2","〜て以来","〜て以来 : depuis que ~","Indique qu’un événement passé a des conséquences continues jusqu’à maintenant","Verbe en 〜て + 以来","彼に会って以来、毎日が楽しい。\
この仕事を始めて以来、残業が続いている。"
"35","N2","〜わけではない","〜わけではない : ce n’est pas que ~ / pas forcément ~","Permet de nuancer ou d’infirmer une généralisation\
≠ というわけではない qui est plus explicite","Phrase en forme neutre + わけではない","お金がほしいわけではない。\
嫌いなわけではないけど、食べたくない。"
"36","N2","〜を中心に","〜を中心に : centré sur ~ / autour de ~","Indique l’élément central ou principal dans une organisation ou activité","Nom + を中心に / として / にして","この店はラーメンを中心にメニューを作っている。\
駅を中心に開発が進んでいる。"
"37","N2","〜をはじめ","〜をはじめとする : à commencer par ~","Utilisé pour introduire un exemple typique dans une énumération","Nom + をはじめ / をはじめとする","日本には富士山をはじめ、多くの山があります。\
先生をはじめ多くの方々にお世話になりました。"
"38","N2","〜をぬきにして","〜を抜きにして : sans ~ / en écartant ~","Exprime l’idée que l’on fait abstraction de quelque chose volontairement","Nom + を抜きにして","冗談を抜きにして、まじめに話そう。\
この料理はにんにく抜きにしてください。"
"39","N2","〜ように","〜ように : comme ~ / pour que ~","Peut exprimer l’exemple, l’objectif ou l’instruction douce","Verbe en forme neutre ou potentielle + ように","忘れないようにメモしてください。\
風のように走った。"
"40","N2","〜ようがない","〜ようがない : il n’y a pas moyen de ~","Exprime qu’il est objectivement impossible de faire quelque chose","Verbe en ます sans ます + ようがない / ようもない","木村さんの連絡先がないので、連絡しようがない。\
その答えは想像しようがない。"
"41","N2","〜わけがない","〜わけがない : il est impossible que ~","Exprime une impossibilité logique ou évidente","Phrase en forme neutre + わけがない","彼がそんなことを言うわけがない。\
こんな難しい問題、私に解けるわけがない。"
"42","N2","〜わけにはいかない","〜わけにはいかない : je ne peux pas me permettre de ~","Exprime un empêchement moral ou social\
Même si possible en théorie","Verbe à la forme neutre + わけにはいかない","大事な会議があるので、遅れるわけにはいかない。\
助けを求められたら、無視するわけにはいかない。"
"43","N2","〜も〜ば〜も","〜も〜ば〜も : à la fois ~ et ~","Permet de citer deux éléments qui partagent une même caractéristique","Nom / adj. / verbe + も + conditionnel + autre + も","この町は景色もよければ、食べ物もおいしい。\
彼は勉強もすれば運動もできる。"
"44","N2","〜やら〜やら","〜やら〜やら : entre ~ et ~","Énumère des choses variées de façon un peu confuse ou débordée","Nom / adj. / verbe + やら + autre + やら","旅行の準備で、買い物やら手続きやら大変だ。\
うれしいやら恥ずかしいやら、何も言えなかった。"
"45","N2","〜か〜ないかのうちに","〜か〜ないかのうちに : à peine ~ que déjà ~","Exprime qu’une action A commence à peine qu’une autre B lui succède immédiatement","Verbe en forme neutre + か + forme négative + かのうちに","ドアを開けるか開けないかのうちに、彼が入ってきた。\
チャイムが鳴るか鳴らないかのうちに、授業が始まった。"
"46","N2","ざるを得ない","〜ざるを得ない : ne pas avoir d’autre choix que de ~","Exprime une contrainte forte, même à contre-cœur","Verbe négatif (〜ない) → remplacer par ざる + を得ない\
(する → せざる)","約束したからには、行かざるを得ない。\
こんな状況では延期せざるを得ない。"
"47","N2","を通じて / を通して","〜を通じて : par l’intermédiaire de ~ / pendant tout ~","① Moyen : via ~ / ② Durée complète : pendant tout ~","Nom + を通じて / を通して","先生を通じて連絡があった。\
一年を通じて売り上げが安定している。"
"48","N2","を問わず","〜を問わず : quel que soit ~ / sans distinction de ~","Exprime que la condition mentionnée ne limite pas l’action","Nom + を問わず / は問わず","性別を問わず応募できます。\
天候を問わず、試合は行われる。"
"49","N2","をもとにして","〜をもとにして : en se basant sur ~","Exprime qu’un résultat ou produit est dérivé d’une base donnée","Nom + をもとにして","この映画は実際の事件をもとにして作られた。\
経験をもとにアドバイスする。"
"50","N2","をめぐって","〜をめぐって : autour de ~ (conflit ou débat)","Indique qu’une controverse se développe autour d’un sujet","Nom + をめぐって","教育制度をめぐって意見が分かれている。\
彼の死をめぐって、様々な噂が流れている。"
"51","N2","を込めて","〜を込めて : en y mettant tout son ~","Exprime une intention ou émotion forte mise dans l’action","Nom + を込めて","感謝の気持ちを込めて手紙を書いた。\
愛情を込めて作った料理です。"
"52","N2","をきっかけにして","〜をきっかけにして : à l’occasion de ~ / à partir de ~","Exprime le point de départ d’un changement ou événement déclencheur","Nom + をきっかけに / にして / にとして","留学をきっかけに自立した。\
事故をきっかけに安全対策が見直された。"
"53","N2","を契機にして","〜を契機にして : à l’occasion de ~ (formel)","Formel équivalent de 〜をきっかけに","Nom + を契機に / を契機として","合併を契機に組織が再編された。\
不況を契機に経費を削減した。"
"54","N2","割に","割に (わりに) : en dépit de ~ / relativement ~","Exprime un décalage entre l’attente et la réalité\
Souvent positif ou surprenant","Nom / adj. / verbe + の / な / い + 割に","年の割に若く見える。\
勉強した割に成績がよくない。\
値段の割に美味しい。"
"55","N2","〜ことから","〜ことから : étant donné que ~ / à cause de ~","Exprime une cause ou un raisonnement menant à une conclusion\
Souvent utilisé pour expliquer un surnom ou une décision","Phrase neutre + ことから","声が大きいことから、あだ名は“スピーカー”。\
事故があったことから、その道は閉鎖された。"
"56","N2","〜際に","〜際に : lors de ~ (formel)","Très formel, équivalent soutenu de とき\
Souvent utilisé dans instructions ou documents officiels","Nom + の際に / Verbe forme neutre + 際に","ご利用の際には、登録が必要です。\
面接の際には、履歴書をご持参ください。"
"57","N2","〜最中に","〜最中に : en plein milieu de ~","Souligne une interruption inattendue pendant une action","Nom + の最中に / Verbe en 〜ている + 最中に","会議の最中に電話が鳴った。\
料理の最中に火が消えた。"
"58","N2","〜次第で","〜次第で : selon ~ / en fonction de ~","Exprime que le résultat dépend de ~\
≠ 次第に (progressivement)","Nom + 次第で / 次第では","成功するかどうかは君の努力次第だ。\
考え方次第で人生が変わる。"
"59","N2","〜しかない","〜しかない : il ne reste plus que ~","Exprime l’absence d’autre choix ou solution","Verbe forme neutre + しかない","電車が止まっているから、歩くしかない。\
その方法しかないと思う。"
"60","N2","〜末に","〜末に (すえに) : après avoir longuement ~","Souligne un résultat obtenu après effort, hésitation ou parcours long","Verbe en 〜た + 末に / Nom + の + 末に","悩んだ末に、転職することにした。\
長い議論の末に、結論が出た。"
"61","N2","〜といっても","〜といっても : même si on dit que ~ / mais en fait ~","Permet de corriger ou nuancer une affirmation trop forte","Phrase A + といっても + B","料理が得意といっても、簡単なものだけです。\
休みといっても、仕事の準備をしていた。"
"62","N2","〜ということだ","〜ということだ : on dit que ~ / cela signifie que ~","① Rapporter une information (≒ そうだ)\
② Reformuler, tirer une conclusion","Phrase neutre + ということだ","彼は来週戻るということだ。\
つまり、計画は中止ということですね。"
"63","N2","〜というものだ","〜というものだ : c’est ~ (jugement évident)","Exprime une opinion logique ou partagée\
≠ ということだ qui est plus neutre","Phrase complète + というものだ","他人の手紙を勝手に読むなんて、失礼というものだ。\
練習しなければ上達しないのは当たり前というものだ。"
"64","N2","〜というものではない","〜というものではない : ce n’est pas forcément vrai que ~","Permet de remettre en question une généralisation\
≠ わけではない (plus subjectif)","Phrase complète + というものではない","高ければいいというものではない。\
努力すれば必ず成功するというものではない。"
"65","N2","〜というより","〜というより : plutôt que ~, c’est ~","Permet de reformuler pour être plus exact ou nuancé","A + というより + B","この料理はおいしいというより、珍しい味だ。\
彼は友人というより兄のようだ。"
"66","N2","〜としたら","〜とすれば : si ~ / en supposant que ~","Exprime une hypothèse imaginaire ou incertaine","Phrase neutre + としたら / とすれば","彼が犯人だとしたら、どこにいるのか。\
もし私があなたなら、行かないとします。"
"67","N2","〜としては","〜としては : en tant que ~","Permet d’exprimer un point de vue selon une fonction, rôle ou position","Nom + としては","教師としては、彼の行動は許せない。\
経験者としてはそれは驚きだ。"
"68","N2","〜としても","〜としても : même si c’est ~","Exprime une concession même en considérant A comme vrai","Nom / phrase neutre + としても","学生としても、その態度はよくない。\
行くとしても、明日になるだろう。"
"69","N2","〜とともに","〜とともに : avec ~ / en parallèle avec ~","Peut exprimer la simultanéité, l’évolution parallèle ou l’accompagnement","Nom + とともに / Verbe + とともに","家族とともに来日した。\
時代の変化とともに、価値観も変わる。"
"70","N2","〜とか","〜とか : il paraît que ~ / par exemple ~","① Ouï-dire informel (≒ 〜そうだ)\
② Énumération partielle","Verbe / nom / adj. neutre + とか","田中さんは来週転職するとか。\
果物とかヨーグルトとか、軽い食事が好き。"
"71","N2","〜つつ","〜つつ : tout en ~ / bien que ~","Équivalent formel de 〜ながら, ou parfois ≈ けれども","Verbe en ます sans ます + つつ","テレビを見つつ、宿題をした。\
悪いと知りつつ、彼は嘘をついた。"
"72","N2","〜上で","〜上で : après avoir ~ / en ~","① Succession d’actions : après avoir ~\
② Sur le plan de ~ / lors de ~","Verbe en 〜た + 上で / Nom + の + 上で","確認の上でご連絡ください。\
法律上での制限がある。"
"73","N2","〜上は","〜上は : une fois que ~ / maintenant que ~","Exprime une décision logique ou morale après un fait accompli","Verbe en forme neutre ou passé + 上は","契約した上は、最後まで責任を持つべきだ。\
出場する上は、勝ちを目指したい。"
"74","N2","〜上に","〜上に : en plus de ~ / non seulement ~ mais aussi ~","Exprime l’accumulation (souvent négative) de deux éléments\
Peut être positif dans certains contextes","Phrase neutre / Adj. な + な / Nom + である + 上に","彼は無責任な上にうそをつく。\
このレストランは味が良い上に値段も安い。"
"75","N2","〜ば〜ほど","〜ば〜ほど : plus ~, plus ~","Exprime la corrélation entre deux variables\
“Plus A, plus B”","Verbe / adj. conditionnel + ほど","見れば見るほど好きになる。\
寒ければ寒いほど空気が澄んでいる。"
"76","N2","〜ないで / 〜ずに + はいられない","〜ないで / 〜ずに + はいられない : ne pas pouvoir s’empêcher de ~","Exprime une impulsion émotionnelle forte et irrépressible","Verbe en 〜ない / 〜ずに + はいられない","彼の話を聞いて、泣かないではいられなかった。\
将来のことを考えずにはいられない。"
"77","N2","〜たきり","〜たきり : depuis que ~, plus jamais ~","Exprime une action unique qui n’a pas été répétée depuis","Verbe en 〜た + きり","彼は出かけたきり戻ってこない。\
あの人には１０年前に会ったきりだ。"
"78","N2","〜てはじめて","〜てはじめて : ce n’est qu’après ~ que ~","Exprime qu’on ne réalise/apprécie quelque chose qu’après une première expérience","Verbe en 〜て + はじめて","病気になってはじめて健康の大切さがわかった。\
日本に来てはじめて本場のラーメンを食べた。"
"79","N2","〜てからでないと / てからでなければ","〜てからでないと : à moins de d’abord ~, alors ~","Exprime qu’une action B est impossible tant que A n’a pas été faite","Verbe en 〜て + からでないと / からでなければ","ビザをもらってからでないと出国できない。\
確認してからでなければ返事できません。"
"80","N2","〜てならない","〜てならない : ne pas pouvoir s’empêcher de ressentir ~","Exprime une émotion ou sensation très forte et irrésistible","Adj./verbe en 〜て + ならない","明日の試験が気になってならない。\
彼と離れるのが寂しくてならない。"
"81","N2","〜てたまらない / てしょうがない","〜てたまらない : c’est insupportable de ~","Exprime un ressenti émotionnel ou physique fort (douleur, envie, émotion)","Adj./verbe en 〜て + たまらない / しょうがない","頭が痛くてたまらない。\
彼に会いたくてしょうがない。"
"82","N2","敬語（けいご）","敬語 : formes de politesse en japonais","Regroupe :\
① 尊敬語（そんけいご）: pour élever l’autre\
② 謙譲語（けんじょうご）: pour s’abaisser soi-même\
③ 丁寧語（ていねいご）: forme polie","Exemples : 尊敬語：いらっしゃる / 謙譲語：いただく / 丁寧語：です","「行く」→ 尊敬語：いらっしゃる、謙譲語：参ります、丁寧語：行きます\
「言う」→ 尊敬語：おっしゃる、謙譲語：申し上げる、丁寧語：言います"
"83","N2","〜わけです","〜わけです : c’est donc pour cela que ~","Exprime une déduction logique, conclusion basée sur des faits","Phrase complète + わけです","彼は来なかった。つまり、知らなかったわけです。\
パスワードを忘れたから、ログインできなかったわけです。"
"84","N2","〜わけがない","〜わけがない : il est impossible que ~","Exprime une impossibilité évidente, souvent marquée par indignation ou logique","Phrase neutre + わけがない","そんなにうまくいくわけがない。\
彼が犯人なわけがない。"
"85","N2","〜わけにはいかない","〜わけにはいかない : je ne peux pas me permettre de ~","Exprime une impossibilité morale, sociale ou contextuelle","Verbe à la forme neutre + わけにはいかない","約束したから、行かないわけにはいかない。\
ここではタバコを吸うわけにはいかない。"
"86","N2","〜も〜ば〜も","〜も〜ば〜も : à la fois ~ et ~ / ni ~ ni ~","Exprime deux aspects parallèles, parfois cumulatifs","Nom / adj. / verbe + も + conditionnel + も","彼は料理もできれば掃除もできる。\
お金もなければ時間もない。"
"87","N2","〜というより","〜というより : plutôt que ~, on dirait plutôt ~","Permet de reformuler une affirmation précédente pour plus de précision","Phrase A + というより + Phrase B","彼女は女優というよりモデルのようだ。\
この映画は面白いというより怖い。"
"88","N2","〜というものではない","〜というものではない : ce n’est pas forcément le cas que ~","Remet en question une généralisation ou idée toute faite","Phrase neutre + というものではない","高いものが必ずしも良いというものではない。\
努力すれば報われるというものではない。"
"89","N2","〜ということだ","〜ということだ : on dit que ~ / cela signifie que ~","① Utilisé pour rapporter une information\
② Pour reformuler ou expliquer","Phrase complète + ということだ","明日は休校だということです。\
彼が辞めるということだ。"
"90","N2","〜といっても","〜といっても : même si on dit que ~ / bien que ~","Nuance ou atténue ce qui vient d’être dit","Phrase A + といっても + nuance B","日本語が話せるといっても、簡単な会話だけです。\
旅行といっても、近くの温泉に行くだけです。"
"91","N2","〜すえに","〜末に (すえに) : après avoir ~ / au terme de ~","Souligne le résultat d’un long processus ou d’une hésitation","Verbe en 〜た + 末に / Nom + の + 末に","色々考えた末に、会社を辞めた。\
話し合いの末、二人は別れることにした。"
"92","N2","〜しかない","〜しかない : il ne reste plus qu’à ~","Exprime une contrainte ou l’absence d’alternative","Verbe à la forme neutre + しかない","電車が止まったから、歩くしかない。\
修理できないなら、新しいのを買うしかない。"
"93","N2","〜上は","〜上は : puisque ~ / maintenant que ~","Exprime la résolution à faire quelque chose une fois la décision prise","Verbe forme neutre ou passée + 上は","引き受けた上は、最後までやり遂げるべきだ。\
受験する上は、合格を目指したい。"
"94","N2","〜上で","〜上で : après avoir ~ / en matière de ~","① Après une action préalable\
② Dans un contexte donné","Verbe en 〜た + 上で / Nom + の + 上で","内容をご確認の上で、署名してください。\
安全上での注意が必要です。"
"95","N2","〜つつ","〜つつ : tout en ~ / bien que ~","Exprime la simultanéité ou une concession douce\
Style soutenu","Verbe en ます (sans ます) + つつ","考えつつ、歩いた。\
悪いと知りつつ、やってしまった。"
"96","N2","〜とか","〜とか : il paraît que ~ / ~ ou quelque chose comme ça","1. Ouï-dire vague 2. Énumération approximative","Verbe / adjectif / nom + とか","雨が降るとか聞いたよ。\
ケーキとかアイスとか、甘いものが好き。"
"97","N2","〜とともに","〜と共に : avec ~ / en même temps que ~","Indique une évolution parallèle ou une action conjointe","Nom / verbe forme neutre + とともに","年を取るとともに、考えも変わってきた。\
彼は家族とともに海外に移住した。"
"98","N2","〜としても","〜としても : même en tant que ~ / même si ~","Exprime une hypothèse ou une concession\
Equivalent à たとえ〜ても","Nom / phrase neutre + としても","彼が本当のことを言っていたとしても、許せない。\
学生としても、その態度は悪い。"
"99","N2","〜としては","〜としては : en tant que ~ / pour un ~","Exprime un point de vue selon une fonction ou un rôle","Nom + としては","医者としては珍しい意見だ。\
親としては心配です。"
"100","N2","〜としたら / とすれば","〜としたら / とすれば : si ~ / en supposant que ~","Exprime une hypothèse ou condition imaginaire","Phrase neutre + としたら / とすれば","留学するとしたら、どこの国がいい？\
彼が犯人だとすれば、証拠は？"
"101","N2","〜というより","〜というより : plutôt que de dire ~ / c’est plutôt ~","Permet de réajuster ou corriger une affirmation précédente","Phrase A + というより + Phrase B","この料理はうまいというより面白い味だ。\
彼は友人というより兄みたいだ。"
"102","N2","〜というものではない","〜というものではない : ce n’est pas toujours ~","Modère ou conteste une opinion trop absolue","Phrase neutre + というものではない","努力すれば必ず成功するというものでもない。\
高いからといって、品質が良いというものではない。"
"103","N2","〜というものだ","〜というものだ : c’est cela ~ / on dirait que ~","Exprime une opinion forte ou un jugement émotionnel","Phrase + というものだ","一日に5本の映画を見るのは見過ぎというものだ。\
人の話を途中で遮るのは失礼というものだ。"
"104","N2","〜ということだ","〜ということだ : on dit que ~ / cela signifie que ~","1. Rapport d’info 2. Reformulation","Phrase complète + ということだ","試験は中止になったということだ。\
つまり、彼女は来ないということだ。"
"105","N2","〜といっても","〜といっても : même si on dit que ~ / mais en fait ~","Nuance ou modère ce qu’on vient de dire","Phrase A + といっても + B","旅行といっても近所の温泉に行っただけだ。\
日本語が話せるといっても、少しだけです。"
"106","N2","〜すえに","〜末に : après avoir longuement ~","Souligne le résultat après effort ou hésitation","Verbe en 〜た + 末に / Nom + の + 末に","考えた末に彼は辞めた。\
何度も話し合った末に、離婚した。"
"107","N2","〜しかない","〜しかない : ne pas avoir d’autre choix que ~","Exprime une obligation inévitable","Verbe neutre + しかない","電車が止まっているので、歩くしかない。\
直せないなら、買い直すしかない。"
"108","N2","〜やら〜やら","〜やら〜やら : entre ~ et ~","Enumération confuse ou émotionnelle","Nom / adj. / verbe + やら + やら","うれしいやら恥ずかしいやらで、涙が出た。\
財布やら鍵やら全部なくした。"
"109","N2","〜も〜ば〜も","〜も〜ば〜も : à la fois ~ et ~ / ni ~ ni ~","Exprime accumulation ou comparaison double","Nom / adj. / verbe + も + conditionnel + も","彼は歌も歌えば踊りも踊る。\
このレストランは値段も安ければ味もいい。"
"128","N3","Base verbale + きれる / きれない","Base verbale + きれる / きれない : être capable ou ne pas être capable de faire entièrement quelque chose","Avec きれる, on indique que l'on est capable de faire complètement quelque chose\
Avec きれない, on indique que l'on n'est pas capable de faire entièrement quelque chose","Verbe dans sa forme en ます et on remplace le ます par きれる ou きれない","一年でローンが払いきれるか。\
Est-ce que tu peux rembourser complètement ton emprunt en une année ?\
彼は使いきれないほどの金を稼ぐ。\
Il gagne plus d'argent qu'il ne peut en dépenser。\
彼女は読みきれないほどたくさんの本を持っている。\
Elle a tellement de livres qu'elle n'est pas capable de tous les lire。"
"129","N3","Base verbale + っこない","Base verbale + っこない : n'est pas possible de ~, ne peut absolument pas ~","Peut se traduire par : il n'y a pas moyen de ~, il ne peut absolument pas ~, il ne peut vraisemblablement pas\
S'utilise lorsque le locuteur n'envisage absolument pas une action\
\
できっこない : ne pas pouvoir faire\
わかりっこない : ne pas pouvoir comprendre\
\
S'utilise à l'oral","Verbe dans sa forme en ます et on remplace le ます par っこ + ない ou ありません (plus poli)\
Verbe à la forme potentielle formelle et on remplace le ます final par っこ + ない ou ありません","それは君だってまちがいっこない。\
Tu ne peux pas te tromper。\
今日は用事いっぱいあるので休みっこない。\
J'ai tellement de choses à faire aujourd'hui que je ne peux vraisemblablement pas prendre de pause。\
彼は今夜たくさん飲んだので、安全に運転出来っこない。\
Il ne pourra pas conduire en toute tranquillité car il a beaucoup bu ce soir。"
"130","N3","Base verbale + 次第 (しだい)","Base verbale + 次第 (しだい) : aussitôt après ~, dès que ~","Peut se traduire par : aussitôt après A, B\
Implique une série planifiée d'action : dès que A est terminée, alors B va être fait immédiatement après\
Ne peut pas être utilisé avec un verbe passé","Verbe dans sa forme en ます et on remplace le ます par 次第\
Le verbe qui suit ne doit pas être au passé","北海道に着き次第、一筆差し上げます。\
Dès que j'arrive à Hokkaïdo, je t'écris quelques lignes。\
終わり次第すぐにこの質問用紙を送ります。\
J'envoie ce questionnaire dès que j'ai fini。\
私たちは雨が止み次第出発します。\
Nous partirons aussitôt que la pluie se sera arrêtée。"
