niveau;titre;nom;description;construction;exemple
N2;にくわえて;に加えて (にくわえて) : en plus de ~;Permet d’ajouter un élément nouveau à une situation donnée;Nom + に加えて;雨に加えて風も強くなってきた。\n彼は英語に加えてスペイン語も話せる。
N2;にたいして;に対して (にたいして) : envers ~ / à l’égard de ~;Indique la cible ou le destinataire d’une action ou sentiment;Nom + に対して;先生に対して失礼な態度を取るな。\n政府に対する不満が高まっている。
N2;にとって;にとって : pour ~ / du point de vue de ~;Permet d’exprimer une opinion ou un jugement depuis une perspective spécifique;Nom + にとって;私にとって家族は一番大切です。\n外国人にとって漢字は難しい。
N2;につけ;につけて / についても : à chaque fois que ~ / que ce soit ~ ou ~;1) につけ seul : chaque fois que ~\n2) につけ〜につけ : que ce soit A ou B, dans tous les cas…;Verbe à la forme neutre + につけ / につけて\n形容詞/名詞 + につけ + 形容詞/名詞 + につけ;彼の声を聞くにつけ、安心する。\n悲しいにつけ、嬉しいにつけ、彼女に話してしまう。
N2;おかげで;おかげで : grâce à ~;Exprime une gratitude ou un résultat positif causé par quelque chose;Nom + の + おかげで / Verbe en た + おかげで;先生のおかげで合格できました。\n早く出発したおかげで、間に合った。
N2;さえ + verbe-えば;さえ〜ば : s’il suffit que ~, alors ~;Permet d’indiquer qu’une seule condition suffit à produire un résultat;Nom + さえ + verbe conditionnel (〜ば);名前さえ書けば参加できます。\n静かにさえしていれば問題ない。
N2;せいで;せいで : à cause de ~;Exprime une cause négative ou un effet indésirable;Nom + の + せいで / Verbe en た + せいで;風邪のせいで試験を受けられなかった。\n彼のせいで迷惑した。
N2;たびに;たびに : chaque fois que ~;Indique qu’un événement B se produit systématiquement à chaque fois que A arrive;Verbe en forme neutre + たびに / Nom + の + たびに;この曲を聞くたびに昔を思い出す。\n出張のたびにお土産を買う。
N2;たとえ〜ても;たとえ〜ても : même si ~;Exprime une hypothèse extrême ou une concession\nRenforce le 〜ても avec たとえ;たとえ + phrase en 〜ても;たとえ反対されても行きます。\nたとえ給料が安くてもこの仕事が好きです。
N2;といえば;といえば : en parlant de ~;Permet de lancer un sujet lié à ce qui vient d’être mentionné;Nom + といえば;京都といえば、お寺が有名ですね。\n旅行といえば、今度の連休にどこ行く？
N2;といったら;といったら : si on parle de ~, alors ~;Accentue l’étonnement ou l’intensité à propos du sujet mentionné;Nom + といったら;彼の料理の腕前といったら、プロ以上だ。\n渋滞のひどさといったら信じられない。
N2;というと;というと : à propos de ~ / quand on parle de ~;Souvent utilisé pour confirmer ou clarifier ce que l’on entend ou comprend;Nom + というと;お盆というと、8月15日ごろですね。\nフランス料理というと、高級なイメージがある。
N2;ところ (に/で/へ/を);ところ（に/で/を）: juste au moment où ~;Permet d’indiquer un point dans le temps : juste avant, pendant ou après une action;Verbe passé / neutre / en 〜ている + ところ（に/で/を）;今出かけるところです。\n掃除しているところに客が来た。\n帰ったところで電話が鳴った。
N2;とおりに / どおりに;とおりに : comme ~ / conformément à ~;Indique que l’on agit selon un modèle, une consigne ou une méthode;Verbe en forme neutre + とおりに / Nom + の + とおりに;説明書のとおりに組み立ててください。\n先生の言ったとおりにやったら、うまくいった。
N2;として;として : en tant que ~ / comme ~;Permet de désigner un rôle, un statut, une fonction;Nom + として;彼は医者として働いている。\n日本代表として大会に出る。
N2;ついでに;ついでに : tant que j’y suis ~ / pendant que ~;Exprime qu’une action est effectuée en profitant d’une autre;Verbe en forme neutre / en 〜た + ついでに;駅へ行くついでに、手紙を出してきて。\n掃除したついでに、模様替えもした。
N2;うちに;うちに : pendant que ~ / avant que ~;Indique une action à accomplir avant qu’une situation ne change;Verbe forme neutre ou négative + うちに;若いうちに海外旅行したい。\n熱いうちに食べてください。
N2;〜たところ;〜たところ : juste après avoir ~ / en essayant de ~;Exprime le résultat immédiat ou inattendu d’une action accomplie;Verbe en 〜た + ところ;新製品を使ってみたところ、非常に便利だった。\nメールを送ったところ、すぐに返事が来た。
N2;〜たとたん(に);〜たとたん(に) : juste après avoir ~, alors ~;Indique une action soudaine et immédiate après un événement;Verbe en 〜た + とたん(に);外に出たとたん、雨が降り出した。\n顔を見たとたんに泣き出した。
N2;〜て以来;〜て以来 : depuis que ~;Indique qu’un événement passé a des conséquences continues jusqu’à maintenant;Verbe en 〜て + 以来;彼に会って以来、毎日が楽しい。\nこの仕事を始めて以来、残業が続いている。
N2;〜わけではない;〜わけではない : ce n’est pas que ~ / pas forcément ~;Permet de nuancer ou d’infirmer une généralisation\n≠ というわけではない qui est plus explicite;Phrase en forme neutre + わけではない;お金がほしいわけではない。\n嫌いなわけではないけど、食べたくない。
N2;〜を中心に;〜を中心に : centré sur ~ / autour de ~;Indique l’élément central ou principal dans une organisation ou activité;Nom + を中心に / として / にして;この店はラーメンを中心にメニューを作っている。\n駅を中心に開発が進んでいる。
N2;〜をはじめ;〜をはじめとする : à commencer par ~;Utilisé pour introduire un exemple typique dans une énumération;Nom + をはじめ / をはじめとする;日本には富士山をはじめ、多くの山があります。\n先生をはじめ多くの方々にお世話になりました。
N2;〜をぬきにして;〜を抜きにして : sans ~ / en écartant ~;Exprime l’idée que l’on fait abstraction de quelque chose volontairement;Nom + を抜きにして;冗談を抜きにして、まじめに話そう。\nこの料理はにんにく抜きにしてください。
N2;〜ように;〜ように : comme ~ / pour que ~;Peut exprimer l’exemple, l’objectif ou l’instruction douce;Verbe en forme neutre ou potentielle + ように;忘れないようにメモしてください。\n風のように走った。
N2;〜ようがない;〜ようがない : il n’y a pas moyen de ~;Exprime qu’il est objectivement impossible de faire quelque chose;Verbe en ます sans ます + ようがない / ようもない;木村さんの連絡先がないので、連絡しようがない。\nその答えは想像しようがない。
N2;〜わけがない;〜わけがない : il est impossible que ~;Exprime une impossibilité logique ou évidente;Phrase en forme neutre + わけがない;彼がそんなことを言うわけがない。\nこんな難しい問題、私に解けるわけがない。
N2;〜わけにはいかない;〜わけにはいかない : je ne peux pas me permettre de ~;Exprime un empêchement moral ou social\nMême si possible en théorie;Verbe à la forme neutre + わけにはいかない;大事な会議があるので、遅れるわけにはいかない。\n助けを求められたら、無視するわけにはいかない。
N2;〜も〜ば〜も;〜も〜ば〜も : à la fois ~ et ~;Permet de citer deux éléments qui partagent une même caractéristique;Nom / adj. / verbe + も + conditionnel + autre + も;この町は景色もよければ、食べ物もおいしい。\n彼は勉強もすれば運動もできる。
N2;〜やら〜やら;〜やら〜やら : entre ~ et ~;Énumère des choses variées de façon un peu confuse ou débordée;Nom / adj. / verbe + やら + autre + やら;旅行の準備で、買い物やら手続きやら大変だ。\nうれしいやら恥ずかしいやら、何も言えなかった。
N2;〜か〜ないかのうちに;〜か〜ないかのうちに : à peine ~ que déjà ~;Exprime qu’une action A commence à peine qu’une autre B lui succède immédiatement;Verbe en forme neutre + か + forme négative + かのうちに;ドアを開けるか開けないかのうちに、彼が入ってきた。\nチャイムが鳴るか鳴らないかのうちに、授業が始まった。
N2;ざるを得ない;〜ざるを得ない : ne pas avoir d’autre choix que de ~;Exprime une contrainte forte, même à contre-cœur;Verbe négatif (〜ない) → remplacer par ざる + を得ない\n(する → せざる);約束したからには、行かざるを得ない。\nこんな状況では延期せざるを得ない。
N2;を通じて / を通して;〜を通じて : par l’intermédiaire de ~ / pendant tout ~;① Moyen : via ~ / ② Durée complète : pendant tout ~;Nom + を通じて / を通して;先生を通じて連絡があった。\n一年を通じて売り上げが安定している。
N2;を問わず;〜を問わず : quel que soit ~ / sans distinction de ~;Exprime que la condition mentionnée ne limite pas l’action;Nom + を問わず / は問わず;性別を問わず応募できます。\n天候を問わず、試合は行われる。
N2;をもとにして;〜をもとにして : en se basant sur ~;Exprime qu’un résultat ou produit est dérivé d’une base donnée;Nom + をもとにして;この映画は実際の事件をもとにして作られた。\n経験をもとにアドバイスする。
N2;をめぐって;〜をめぐって : autour de ~ (conflit ou débat);Indique qu’une controverse se développe autour d’un sujet;Nom + をめぐって;教育制度をめぐって意見が分かれている。\n彼の死をめぐって、様々な噂が流れている。
N2;を込めて;〜を込めて : en y mettant tout son ~;Exprime une intention ou émotion forte mise dans l’action;Nom + を込めて;感謝の気持ちを込めて手紙を書いた。\n愛情を込めて作った料理です。
N2;をきっかけにして;〜をきっかけにして : à l’occasion de ~ / à partir de ~;Exprime le point de départ d’un changement ou événement déclencheur;Nom + をきっかけに / にして / にとして;留学をきっかけに自立した。\n事故をきっかけに安全対策が見直された。
N2;を契機にして;〜を契機にして : à l’occasion de ~ (formel);Formel équivalent de 〜をきっかけに;Nom + を契機に / を契機として;合併を契機に組織が再編された。\n不況を契機に経費を削減した。
N2;割に;割に (わりに) : en dépit de ~ / relativement ~;Exprime un décalage entre l’attente et la réalité\nSouvent positif ou surprenant;Nom / adj. / verbe + の / な / い + 割に;年の割に若く見える。\n勉強した割に成績がよくない。\n値段の割に美味しい。
N2;〜ことから;〜ことから : étant donné que ~ / à cause de ~;Exprime une cause ou un raisonnement menant à une conclusion\nSouvent utilisé pour expliquer un surnom ou une décision;Phrase neutre + ことから;声が大きいことから、あだ名は“スピーカー”。\n事故があったことから、その道は閉鎖された。
N2;〜際に;〜際に : lors de ~ (formel);Très formel, équivalent soutenu de とき\nSouvent utilisé dans instructions ou documents officiels;Nom + の際に / Verbe forme neutre + 際に;ご利用の際には、登録が必要です。\n面接の際には、履歴書をご持参ください。
N2;〜最中に;〜最中に : en plein milieu de ~;Souligne une interruption inattendue pendant une action;Nom + の最中に / Verbe en 〜ている + 最中に;会議の最中に電話が鳴った。\n料理の最中に火が消えた。
N2;〜次第で;〜次第で : selon ~ / en fonction de ~;Exprime que le résultat dépend de ~\n≠ 次第に (progressivement);Nom + 次第で / 次第では;成功するかどうかは君の努力次第だ。\n考え方次第で人生が変わる。
N2;〜しかない;〜しかない : il ne reste plus que ~;Exprime l’absence d’autre choix ou solution;Verbe forme neutre + しかない;電車が止まっているから、歩くしかない。\nその方法しかないと思う。
N2;〜末に;〜末に (すえに) : après avoir longuement ~;Souligne un résultat obtenu après effort, hésitation ou parcours long;Verbe en 〜た + 末に / Nom + の + 末に;悩んだ末に、転職することにした。\n長い議論の末に、結論が出た。
N2;〜といっても;〜といっても : même si on dit que ~ / mais en fait ~;Permet de corriger ou nuancer une affirmation trop forte;Phrase A + といっても + B;料理が得意といっても、簡単なものだけです。\n休みといっても、仕事の準備をしていた。
N2;〜ということだ;〜ということだ : on dit que ~ / cela signifie que ~;① Rapporter une information (≒ そうだ)\n② Reformuler, tirer une conclusion;Phrase neutre + ということだ;彼は来週戻るということだ。\nつまり、計画は中止ということですね。
N2;〜というものだ;〜というものだ : c’est ~ (jugement évident);Exprime une opinion logique ou partagée\n≠ ということだ qui est plus neutre;Phrase complète + というものだ;他人の手紙を勝手に読むなんて、失礼というものだ。\n練習しなければ上達しないのは当たり前というものだ。
N2;〜というものではない;〜というものではない : ce n’est pas forcément vrai que ~;Permet de remettre en question une généralisation\n≠ わけではない (plus subjectif);Phrase complète + というものではない;高ければいいというものではない。\n努力すれば必ず成功するというものではない。
N2;〜というより;〜というより : plutôt que ~, c’est ~;Permet de reformuler pour être plus exact ou nuancé;A + というより + B;この料理はおいしいというより、珍しい味だ。\n彼は友人というより兄のようだ。
N2;〜としたら;〜とすれば : si ~ / en supposant que ~;Exprime une hypothèse imaginaire ou incertaine;Phrase neutre + としたら / とすれば;彼が犯人だとしたら、どこにいるのか。\nもし私があなたなら、行かないとします。
N2;〜としては;〜としては : en tant que ~;Permet d’exprimer un point de vue selon une fonction, rôle ou position;Nom + としては;教師としては、彼の行動は許せない。\n経験者としてはそれは驚きだ。
N2;〜としても;〜としても : même si c’est ~;Exprime une concession même en considérant A comme vrai;Nom / phrase neutre + としても;学生としても、その態度はよくない。\n行くとしても、明日になるだろう。
N2;〜とともに;〜とともに : avec ~ / en parallèle avec ~;Peut exprimer la simultanéité, l’évolution parallèle ou l’accompagnement;Nom + とともに / Verbe + とともに;家族とともに来日した。\n時代の変化とともに、価値観も変わる。
N2;〜とか;〜とか : il paraît que ~ / par exemple ~;① Ouï-dire informel (≒ 〜そうだ)\n② Énumération partielle;Verbe / nom / adj. neutre + とか;田中さんは来週転職するとか。\n果物とかヨーグルトとか、軽い食事が好き。
N2;〜つつ;〜つつ : tout en ~ / bien que ~;Équivalent formel de 〜ながら, ou parfois ≈ けれども;Verbe en ます sans ます + つつ;テレビを見つつ、宿題をした。\n悪いと知りつつ、彼は嘘をついた。
N2;〜上で;〜上で : après avoir ~ / en ~;① Succession d’actions : après avoir ~\n② Sur le plan de ~ / lors de ~;Verbe en 〜た + 上で / Nom + の + 上で;確認の上でご連絡ください。\n法律上での制限がある。
N2;〜上は;〜上は : une fois que ~ / maintenant que ~;Exprime une décision logique ou morale après un fait accompli;Verbe en forme neutre ou passé + 上は;契約した上は、最後まで責任を持つべきだ。\n出場する上は、勝ちを目指したい。
N2;〜上に;〜上に : en plus de ~ / non seulement ~ mais aussi ~;Exprime l’accumulation (souvent négative) de deux éléments\nPeut être positif dans certains contextes;Phrase neutre / Adj. な + な / Nom + である + 上に;彼は無責任な上にうそをつく。\nこのレストランは味が良い上に値段も安い。
N2;〜ば〜ほど;〜ば〜ほど : plus ~, plus ~;Exprime la corrélation entre deux variables\n“Plus A, plus B”;Verbe / adj. conditionnel + ほど;見れば見るほど好きになる。\n寒ければ寒いほど空気が澄んでいる。
N2;〜ないで / 〜ずに + はいられない;〜ないで / 〜ずに + はいられない : ne pas pouvoir s’empêcher de ~;Exprime une impulsion émotionnelle forte et irrépressible;Verbe en 〜ない / 〜ずに + はいられない;彼の話を聞いて、泣かないではいられなかった。\n将来のことを考えずにはいられない。
N2;〜たきり;〜たきり : depuis que ~, plus jamais ~;Exprime une action unique qui n’a pas été répétée depuis;Verbe en 〜た + きり;彼は出かけたきり戻ってこない。\nあの人には１０年前に会ったきりだ。
N2;〜てはじめて;〜てはじめて : ce n’est qu’après ~ que ~;Exprime qu’on ne réalise/apprécie quelque chose qu’après une première expérience;Verbe en 〜て + はじめて;病気になってはじめて健康の大切さがわかった。\n日本に来てはじめて本場のラーメンを食べた。
N2;〜てからでないと / てからでなければ;〜てからでないと : à moins de d’abord ~, alors ~;Exprime qu’une action B est impossible tant que A n’a pas été faite;Verbe en 〜て + からでないと / からでなければ;ビザをもらってからでないと出国できない。\n確認してからでなければ返事できません。
N2;〜てならない;〜てならない : ne pas pouvoir s’empêcher de ressentir ~;Exprime une émotion ou sensation très forte et irrésistible;Adj./verbe en 〜て + ならない;明日の試験が気になってならない。\n彼と離れるのが寂しくてならない。
N2;〜てたまらない / てしょうがない;〜てたまらない : c’est insupportable de ~;Exprime un ressenti émotionnel ou physique fort (douleur, envie, émotion);Adj./verbe en 〜て + たまらない / しょうがない;頭が痛くてたまらない。\n彼に会いたくてしょうがない。
N2;敬語（けいご）;敬語 : formes de politesse en japonais;Regroupe :\n① 尊敬語（そんけいご）: pour élever l’autre\n② 謙譲語（けんじょうご）: pour s’abaisser soi-même\n③ 丁寧語（ていねいご）: forme polie;Exemples : 尊敬語：いらっしゃる / 謙譲語：いただく / 丁寧語：です;「行く」→ 尊敬語：いらっしゃる、謙譲語：参ります、丁寧語：行きます\n「言う」→ 尊敬語：おっしゃる、謙譲語：申し上げる、丁寧語：言います
N2;〜わけです;〜わけです : c’est donc pour cela que ~;Exprime une déduction logique, conclusion basée sur des faits;Phrase complète + わけです;彼は来なかった。つまり、知らなかったわけです。\nパスワードを忘れたから、ログインできなかったわけです。
N2;〜わけがない;〜わけがない : il est impossible que ~;Exprime une impossibilité évidente, souvent marquée par indignation ou logique;Phrase neutre + わけがない;そんなにうまくいくわけがない。\n彼が犯人なわけがない。
N2;〜わけにはいかない;〜わけにはいかない : je ne peux pas me permettre de ~;Exprime une impossibilité morale, sociale ou contextuelle;Verbe à la forme neutre + わけにはいかない;約束したから、行かないわけにはいかない。\nここではタバコを吸うわけにはいかない。
N2;〜も〜ば〜も;〜も〜ば〜も : à la fois ~ et ~ / ni ~ ni ~;Exprime deux aspects parallèles, parfois cumulatifs;Nom / adj. / verbe + も + conditionnel + も;彼は料理もできれば掃除もできる。\nお金もなければ時間もない。
N2;〜というより;〜というより : plutôt que ~, on dirait plutôt ~;Permet de reformuler une affirmation précédente pour plus de précision;Phrase A + というより + Phrase B;彼女は女優というよりモデルのようだ。\nこの映画は面白いというより怖い。
N2;〜というものではない;〜というものではない : ce n’est pas forcément le cas que ~;Remet en question une généralisation ou idée toute faite;Phrase neutre + というものではない;高いものが必ずしも良いというものではない。\n努力すれば報われるというものではない。
N2;〜ということだ;〜ということだ : on dit que ~ / cela signifie que ~;① Utilisé pour rapporter une information\n② Pour reformuler ou expliquer;Phrase complète + ということだ;明日は休校だということです。\n彼が辞めるということだ。
N2;〜といっても;〜といっても : même si on dit que ~ / bien que ~;Nuance ou atténue ce qui vient d’être dit;Phrase A + といっても + nuance B;日本語が話せるといっても、簡単な会話だけです。\n旅行といっても、近くの温泉に行くだけです。
N2;〜すえに;〜末に (すえに) : après avoir ~ / au terme de ~;Souligne le résultat d’un long processus ou d’une hésitation;Verbe en 〜た + 末に / Nom + の + 末に;色々考えた末に、会社を辞めた。\n話し合いの末、二人は別れることにした。
N2;〜しかない;〜しかない : il ne reste plus qu’à ~;Exprime une contrainte ou l’absence d’alternative;Verbe à la forme neutre + しかない;電車が止まったから、歩くしかない。\n修理できないなら、新しいのを買うしかない。
N2;〜上は;〜上は : puisque ~ / maintenant que ~;Exprime la résolution à faire quelque chose une fois la décision prise;Verbe forme neutre ou passée + 上は;引き受けた上は、最後までやり遂げるべきだ。\n受験する上は、合格を目指したい。
N2;〜上で;〜上で : après avoir ~ / en matière de ~;① Après une action préalable\n② Dans un contexte donné;Verbe en 〜た + 上で / Nom + の + 上で;内容をご確認の上で、署名してください。\n安全上での注意が必要です。
N2;〜つつ;〜つつ : tout en ~ / bien que ~;Exprime la simultanéité ou une concession douce\nStyle soutenu;Verbe en ます (sans ます) + つつ;考えつつ、歩いた。\n悪いと知りつつ、やってしまった。
N2;〜とか;〜とか : il paraît que ~ / ~ ou quelque chose comme ça;1. Ouï-dire vague 2. Énumération approximative;Verbe / adjectif / nom + とか;雨が降るとか聞いたよ。\nケーキとかアイスとか、甘いものが好き。
N2;〜とともに;〜と共に : avec ~ / en même temps que ~;Indique une évolution parallèle ou une action conjointe;Nom / verbe forme neutre + とともに;年を取るとともに、考えも変わってきた。\n彼は家族とともに海外に移住した。
N2;〜としても;〜としても : même en tant que ~ / même si ~;Exprime une hypothèse ou une concession\nEquivalent à たとえ〜ても;Nom / phrase neutre + としても;彼が本当のことを言っていたとしても、許せない。\n学生としても、その態度は悪い。
N2;〜としては;〜としては : en tant que ~ / pour un ~;Exprime un point de vue selon une fonction ou un rôle;Nom + としては;医者としては珍しい意見だ。\n親としては心配です。
N2;〜としたら / とすれば;〜としたら / とすれば : si ~ / en supposant que ~;Exprime une hypothèse ou condition imaginaire;Phrase neutre + としたら / とすれば;留学するとしたら、どこの国がいい？\n彼が犯人だとすれば、証拠は？
N2;〜というより;〜というより : plutôt que de dire ~ / c’est plutôt ~;Permet de réajuster ou corriger une affirmation précédente;Phrase A + というより + Phrase B;この料理はうまいというより面白い味だ。\n彼は友人というより兄みたいだ。
N2;〜というものではない;〜というものではない : ce n’est pas toujours ~;Modère ou conteste une opinion trop absolue;Phrase neutre + というものではない;努力すれば必ず成功するというものでもない。\n高いからといって、品質が良いというものではない。
N2;〜というものだ;〜というものだ : c’est cela ~ / on dirait que ~;Exprime une opinion forte ou un jugement émotionnel;Phrase + というものだ;一日に5本の映画を見るのは見過ぎというものだ。\n人の話を途中で遮るのは失礼というものだ。
N2;〜ということだ;〜ということだ : on dit que ~ / cela signifie que ~;1. Rapport d’info 2. Reformulation;Phrase complète + ということだ;試験は中止になったということだ。\nつまり、彼女は来ないということだ。
N2;〜といっても;〜といっても : même si on dit que ~ / mais en fait ~;Nuance ou modère ce qu’on vient de dire;Phrase A + といっても + B;旅行といっても近所の温泉に行っただけだ。\n日本語が話せるといっても、少しだけです。
N2;〜すえに;〜末に : après avoir longuement ~;Souligne le résultat après effort ou hésitation;Verbe en 〜た + 末に / Nom + の + 末に;考えた末に彼は辞めた。\n何度も話し合った末に、離婚した。
N2;〜しかない;〜しかない : ne pas avoir d’autre choix que ~;Exprime une obligation inévitable;Verbe neutre + しかない;電車が止まっているので、歩くしかない。\n直せないなら、買い直すしかない。
N2;〜やら〜やら;〜やら〜やら : entre ~ et ~;Enumération confuse ou émotionnelle;Nom / adj. / verbe + やら + やら;うれしいやら恥ずかしいやらで、涙が出た。\n財布やら鍵やら全部なくした。
N2;〜も〜ば〜も;〜も〜ば〜も : à la fois ~ et ~ / ni ~ ni ~;Exprime accumulation ou comparaison double;Nom / adj. / verbe + も + conditionnel + も;彼は歌も歌えば踊りも踊る。\nこのレストランは値段も安ければ味もいい。
