Niveau;Titre;Nom;Description;Construction;Exemples;;;;
N3;"にかわって; にかわり";"に代わって; に代わり (にかわって; にかわり) : à la place de ~; au lieu de ~; au nom de ~";"1er sens
Peut se traduire par : au lieu de ~; à la place ~
Exprime l'idée de remplacement; aussi bien pour les actions que les personnes ou les objets
2ème sens
Peut se traduire par : au nom de ~; de la part de ~
Permet d'indiquer qu'une personne fait quelque chose au nom de quelqu'un d'autre; à sa place";Nom + に代わって ou に代わり;"今はタイプライターに代わり、ワープロが使われている。
Les logiciels de traitement de texte sont maintenant utilisés à la place des machines à écrire。
彼が父親に代わって事業を営んでいる。
Il gère les affaires à la place de son père。
私は母に代わってあなたに手紙を書いています。
Je t'écris une lettre de la part de ma mère。
副大統領は大統領に代わって式典に出席した。
Le vice-président a assisté à la cérémonie au nom du président。";;;;
N3;にきまっている;"に決まっている (にきまっている) : sans aucun doute; c'est certain que ~";"Peut se traduire par : sans aucun doute; c'est certain que ~; c'est comme si ça avait déjà été décidé que ~
Permet d'exprimer de manière forte une conviction sur quelque chose de prévu
S'emploie la plupart du temps à l'oral";"Adjectif en い ou verbe à la forme neutre + にきまっている
Adjectif en な ou nom + にきまっている";"全然勉強しなかったので試験に落ちるに決まっている。
Comme je n'ai pas du tout révisé; je vais sans aucun doute rater mon examen。
彼は怠け者にきまっている。彼が働いているところを見たことがない。
C'est sans aucun doute un paresseux。Je ne l'ai jamais vu travailler。
家の母はノーと言うに決まっている。
Ma mère va sûrement dire non。
注文服だから、高いにきまっている。
Vu que ce sont des vêtements faits sur mesure; ils sont sans aucun doute chers。";;;;
N3;にくらべて;に比べて (にくらべて) : comparé à ~;Peut se traduire par : comparé à ~;Nom + に比べて;"彼女はご主人に比べてとても若く見えます。
Elle paraît vraiment jeune comparée à son mari。
地球は太陽に比べて小さい。
La Terre est petite comparée au Soleil。
昨年に比べて今年は春の訪れが遅かった。
Le printemps est arrivé plus tard cette année comparée à l'année dernière。";;;;
N3;にくわえて;に加えて (にくわえて) : en plus de ~;"Pour ajouter une information par rapport à ce que l'on dit
Peut se traduire par : en plus de ~";Nom + に加えて;"彼は健康に加えて頭が良い。
En plus d'être en bonne santé; il est intelligent。
英語に加えてドイツ語も勉強したい。
Je veux aussi apprendre l'allemand en plus de l'anglais。";;;;
N3;にたいして;"に対して (にたいして) : envers ~; à l'encontre de ~";"Pour indiquer ce qui va recevoir une action
On désigne plus fortement la personne ou le sujet qui reçoit l'action
Peut se traduire par : à l'encontre de ~; envers ~";Nom + に対して;"彼女は動物に対して優しい。
Elle est gentille envers les animaux。
彼女は彼に対して不利な証言をした。
Elle a témoigné défavorablement à son encontre。";;;;
N3;にとって;にとって : du point de vue de ~;"Peut se traduire par : du point de vue de ~; pour ~
Permet d'exprimer le point de vue de quelqu'un
にとって est suivi d'un jugement ou d'une appréciation";Nom + にとって;"この写真は私にとって、何よりも大切なものです。
Pour moi; cette photo est plus importante que tout。
大統領にとって国民の健康はとても大切です。
Pour le Président; la santé des citoyens est très importante。
空気は、生命にとって不可欠である。
L'air est indispensable pour la vie。";;;;
N3;"につけ; につけて ou についても";"につけ; につけて ou についても : chaque fois que ~; toutes les fois où ~; que ce soit ~ ou ~";"Quand につけ est employé seul
Peut se traduire par : toutes les fois que ~; à chaque fois que ~
Quand につけ est doublé
Peut se traduire par : que ce soit ~ ou ~
S'utilise généralement avec deux mots qui se contrastent (chaud/froid; salé/sucré...)";"Verbe à la forme neutre + につけ; につけて ou についても
Verbe ou adjectif + につけ + verbe ou adjectif + につけ + proposition principale";"家族の写真を見るにつけ会いたくてたまらなくなる。
A chaque fois que je regarde les photos de ma famille; je ne peux m'empêcher de penser à vouloir les rencontrer。
先輩の活躍を見るにつけ聞くにつけ心強くなる。
Que ce soit lorsque je vois les efforts de mon aîné ou lorsque je l'écoute; cela m'encourage。";;;;
N3;おかげで;おかげで : grâce à ~;"Peut se traduire par : grâce à ~
おがけだ a le même sens mais est placé en fin de phrase
En kanji : お陰で";"Nom + の + おかげで
Verbe forme passé neutre (た) + おかげで";"彼のおかげで就職できた。
Grâce à lui; j'ai pu trouver un emploi。
彼は強い意志のお陰でその試合に勝った。
Grâce à sa forte volonté; il gagna ce match。
私の今日在るのは母のお陰だ。
Je dois à ma mère d'être qui je suis aujourd'hui。
努力したおかげで彼は目的を達した。
Grâce à ses efforts; il a atteint ses objectifs。";;;;
N3;さえ + verbe -えば;さえ + verbe -えば : si seulement ~ alors ~;"Peut se traduire par : si seulement A alors B; il suffirait que A pour que B; pour peu que A alors B
L'action représentée par A est la seule nécessaire pour que B se réalise";"Nom + さえ + verbe/adjectif en い au conditionnel en -えば; nom/adjectif en な suivi de なら + résultat
Verbe dans sa forme en ます sans le ます final + さえ + すれば・しなければ + résultat
Nom ou adjectif en な + で + さえ + あれば・なければ + résultat
Adjectif en -い avec く à la place du い final + さえ + あれば・なければ + résultat";"騒音公害は、人々が環境にもっと敏感でありさえすれば避けることができるのに。
Si seulement les personnes étaient plus sensibles à leur environnement; on pourrait alors éviter la pollution sonore。
静かに聞いてくれる気がありさえすればお話ししよう。
Je te le dirais si seulement j'ai l'impression que tu m'écoutes calmement。
汚しさえしなければ本を家に持ってかえっていい。
Tu peux amener le livre chez toi pour peu que tu ne le salisses pas。
赤くさえあれば、どんな花でも結構です。
N'importe quelle fleur irait du moment qu'elles sont rouges。
体さえ丈夫なら、どんな苦労にも耐えられると思う。
Je pense que je peux endurer n'importe quelle difficultés du moment que mon corps va bien。";;;;
N3;せいで;せいで : à cause de ~;"Peut se traduire par : à cause de ~; du fait de ~
せいだ a le même sens mais est placé en fin de phrase
せいか ajoute une valeur d'interrogation personnelle; de réflexion intérieure";"Nom + の + せいで
Verbe forme passé neutre (-た) + せいで";"彼は過労のせいで死んだ。
Il est mort à cause du surmenage。
飛行機でお酒飲むと、気圧のせいか酔いやすい。
Si on boit de l'alcool en avion; c'est-être à cause de la pression atmosphérique que l'on est plus facilement saoul。
列車が止まったのは嵐のせいだった。
Du fait de la tempête; le train s'était arrêté。";;;;
N3;たびに;度に (たびに) : chaque fois que ~;"Peut se traduire par : chaque fois que ~
Traduit une occurrence de quelque chose";Verbe à la forme neutre + 度に;"彼女に会うたびに胸がどきどきする。
Mon cœur s'affole chaque fois que je la vois。
この写真を見るたびに、父を思い出す。
A chaque fois que je vois cette photo; je pense à mon père。";;;;
N3;たとえ + verbe -て + も;たとえ ~ても : même si ~;"Peut se traduire par : même si ~
L'ajout de たとえ permet d'insister sur le conditionnel";"(たとえ) + verbe en -て + も
(たとえ) + adjectif en い avec く à la place du い final + ても
(たとえ) + adjectif en な sans le な final + でも
(たとえ) + nom + でも";"たとえ食べたくなくても、あなたはこのサラダを食べなくてはいけない。
Tu dois manger cette salade même si tu n’en veux pas。
たとえ彼は忙しくても来るよ。
Même s'il est occupé; il viendra。
たとえ医者でもガンには勝てません。
Même si vous êtes un docteur; vous ne pouvez vaincre le cancer。";;;;
N3;といえば;"と言えば (といえば) : en parlant de ~; à propos de ~";"Peut se traduire par : en parlant de ~; à propos de ~
S'utilise lorsque l'on se rappelle de quelque chose à propos du sujet de discussion ou que celui-ci nous évoque quelque chose";Nom + と言えば;"スポーツと言えば君はテニスが出来ますか。
En parlant de sport; est-ce que tu sais jouer au tennis？
名古屋と言えばあなたは瀬戸へ行ったことはありますか。
En parlant de Nagoya; es-tu déjà allé à Seto？";;;;
N3;といったら;"と言ったら (といったら) : en parlant de ~; à propos de ~";"Peut se traduire par : en parlant de ~; à propos de ~
S'utilise pour montrer l'admiration; l'étonnement ou la déception";Nom + と言ったら;"息子の部屋の汚いことといったら、ひどいものです。
En parlant du bazar dans la chambre de mon fils; c'est vraiment lamentable。
日本の中で、一番有名な観光地と言ったら、京都ですね。
Quand je pense aux plus célèbres lieux touristiques du Japon; Kyôtô me vient à l'esprit。";;;;
N3;というと;"と言うと (というと) : en parlant de ~; à propos de ~";"Peut se traduire par : en parlant de ~; à propos de ~";Nom + と言うと;"有名な映画監督というと、黒澤明を述べなきゃいけない。
Quand l'on parle des réalisateurs célèbres; on doit mentionner Akira Kurosawa。
スポ-ツの祭典というと、まずオリンピックですね。
En parlant des festivals sportifs; on peut d'abord parler des jeux olympiques。";;;;
N3;"ところへ; ところに; ところを";"ところへ; ところに; ところを : mettre l'accent sur le moment où s'effectue une action";"Peut se traduire par : au moment où; juste quand; juste avant; juste après
Avec du passé (forme en -た) : moment où l'action vient de s'effectuer
Avec la forme neutre : moment où l'action va s'effectuer
Avec la forme en -て + いる : moment où l'action est en train de s'effectuer
Les particules へ; に et を sont interchangeables mais apportent une petite nuance";"Verbe à la forme passé neutre (-た) + ところ + へ・に・を・だ
Verbe à la forme neutre + ところ + へ・に・を・だ
Verbe à la forme en -て + いる + ところ + へ・に・を・だ";"彼女は昼ご飯を食べているところだ。
Elle est en train de prendre son repas。
私達は今出かけるところだ。
Nous sommes maintenant sur le point de partir。
郵便局へ行ってきたところだ。
Je viens d'aller au bureau de poste。
これから寝ようとしたところへ友達が訪ねてきた。
J'étais sur le point de m'endormir quand un ami est passé。
こっそりたばこを吸っているところを妹に見られた。
Ma petite sœur m'a vu au moment où je fumais en cachette。";;;;
N3;"とおりに; どおりに";"通りに (とおりに; どおりに) : comme ~";"Peut se traduire par : comme ~; de la même manière que ~; de la même façon que ~; suivant ~";"Verbe à la forme neutre (présent; passé ou forme en ている) + とおり(に)
Nom + の + とおり(に)
nom + どおり(に)";"天気予報のとおり、午後から雨になった。
Comme prévu par les prévisions météorologiques; il a commencé à pleuvoir dans l'après-midi。
医者の指示どおり、毎日運動をすることにした。
Suivant les indications de mon docteur; j'ai décidé de faire de l'exercice chaque jour。
恐れたとおりに今日も吹雪があった。
Comme je le craignais; il y a également eu une tempête de neige aujourd'hui。
説明書に書いてあるとおりにやってみてください。
Essayons de faire de la même manière que ce qui est écrit dans le mode d'emploi。";;;;
N3;として;として : en tant que ~;"Peut se traduire par : en tant que ~
Indique la catégorie; le rôle; la capacité ou la fonction de quelqu'un ou quelque chose";"Nom + として
Nom + としての + nom";"彼は先生としても人間としても尊敬された。
Il était respecté à la fois en tant que professeur et en tant qu'homme。
彼女は販売員としての仕事に応募した。
Elle a postulé à un emploi en tant que vendeuse。
私たちの学校は３人のアメリカ人を交換留学生として受け入れた。
Notre école a admis 3 américains en tant qu'étudiants participant à un échange。";;;;
N3;ついでに;ついでに : profiter de faire quelque chose pour en faire une autre;"S'utilise lorsque; au moment où l'on va faire quelque chose; on a l'opportunité d'en faire une autre
Peut se traduire par : profitant du fait que ~; pendant que tu fais également ceci ~";"Verbe à la forme neutre + ついでに
Verbe à la forme passé neutre (-た) + ついでに
Nom + の + ついでに";"あなたが入れるついでに私にもコーヒーを入れてください。
Pendant que tu prépares un café; peux-tu aussi m’en faire un s'il te plaît？
先生はいろいろな種類の花を見せてくれたついでにこれらの花は自分の家の庭から持ってきた物だと言った。
Profitant du fait que notre professeur nous montrait différentes variétés de fleurs; il nous a dit qu'elles venaient de son jardin。";;;;
N3;うちに;"うちに : tant que ~; avant que ~";"1er sens
Peut se traduire par : tant que ~
2ème sens
Peut se traduire par : avant que ~
S'utilise pour annoncer quelque chose à faire avant qu'un changement ne la rende plus difficile à réaliser";Verbe à la forme neutre (affirmatif ou négatif) + うちに;"陽が昇らないうちに出発しよう。
Partons avant que le soleil ne se lève。
若いうちに体を鍛えなさい。
Entraîne ton corps tant que tu es jeune。
雨が降らないうちに帰りましょう。
Rentrons à la maison avant qu'il ne pleuve。";;;;
N3;Verbe -た + ところ;"~たところ : quand ~; lorsque ~";"Peut se traduire par : quand ~; lorsque ~
A~たところ、B~た : quand A est fait; alors B est le résultat";Verbe au passé neutre (-た) + ところ;"マニュアルの説明通りにやってみたところうまくいった。
Cela s'est bien passé quand j'ai essayé de faire en suivant les explications du manuel。
新しいワ-プロを使ってみたところ、とても使いやすかった。
C'était vraiment facile à utiliser lorsque j'ai pris le nouveau traitement de texte。";;;;
N3;Verbe -た + とたん;"Verbe -た + とたん : dès que ~; aussitôt que ~";"Peut se traduire par : dès que ~; aussitôt que ~
Indique qu'après un premier évènement; un deuxième (souvent étrange ou anormal) survient brusquement";Verbe à la forme passé neutre (-た) + とたん(に);"彼は娘が死んだ事を聞いたとたん、泣き崩れた。
Aussitôt après avoir appris la mort de sa fille; il s'effondra en larmes。
僕は見たとたんに彼女だと分かった。
Je l'ai reconnue dès que je l'ai vue。
彼女はひとりきりになったとたん、その手紙をあけた。
Dès qu'elle fût seule; elle ouvrit la lettre。";;;;
N3;Verbe -て + いらい;Verbe -て + 以来 (いらい) : depuis que ~;"Pour montrer le prolongement d'un évènement passé qui continue encore dans le présent
Peut se traduire par : depuis que ~";Verbe à la forme en -て + 以来;"３年前に東京へ来て以来ここに住んでいる。
J'habite ici depuis que je suis venu à Tôkyô il y a 3 ans。
今世紀が始まって以来、多くの進歩があった。
Beaucoup de progrès ont été faits depuis le début de ce siècle。
１５年前に卒業して以来私は昔の級友に会ったことがない。
Je n'ai pas revu mes anciens camarades de classe depuis que j'ai eu mon diplôme il y a 15 ans。";;;;
N3;わけではない;"と言う訳ではない (というわけではない) : cela ne veut pas dire que ~; n'être pas forcément ~; n'être pas spécialement ~";"Peut se traduire par : cela ne veut pas dire que ~; n'être pas forcément ~; n'être pas spécialement ~
Permet souvent d'infirmer quelque chose dit précédemment";"Verbe à la forme neutre + (と言う)わけではない
Adjectif en -な ou en -い + わけではない";"全く嘘と言う訳ではない。
Cela ne veut pas dire que c'est entièrement faux。
別に命日と言うわけではない。
Cela ne veut pas spécialement dire que c’est une commémoration。
きょうはとりわけ暑いというわけではない。
Il ne fait pas spécialement chaud aujourd'hui。";;;;
N3;をちゅうしんに;"を中心に (をちゅうしんに) : centré sur ~; autour de ~";"Peut se traduire par : centré sur ~; autour de ~
A を B の中心にする : rendre A au centre de B";"Nom + を中心に
Nom + を中心にとして
Nom + を中心にする";"駅を中心にたくさんの商店が集まっている。
Il y a des nombreuses boutiques rassemblées autour de la gare。
中国を海外展開計画の中心に議論しましょう。
Mettons la Chine au centre des discussions de notre projet de développement à l'étranger。
地球は太陽を中心にして回っている。
La Terre tourne autour du Soleil。";;;;
N3;"をはじめ; をはじめとする";"をはじめ; をはじめとする : à commencer par ~";"Permet d'introduire une liste de choses en mettant l'accent sur le premier
Peut se traduire par : à commencer par ~";Nom + をはじめ ou をはじめとする;"『源氏物語』をはじめとする物語が愛好されました。
Il adorait les contes; à commencer par Le Dit du Genji。
サービス産業には、通信、運輸、流通、金融をはじめものの生産には関係ないたくさんの分野が含まれる。
De nombreux domaines qui n'ont pas de lien avec la fabrication de produits sont inclus dans l'industrie du service à commencer par la finance mais aussi la distribution; le transport et la communication。";;;;
N3;"をぬきにして; はぬきにして";"を抜きにして; は抜きにして (をぬきにして; はぬきにして) : laisser de côté ~; ne pas prendre en compte ~";"Permet d'indiquer que l'on met quelque chose de côté; qu'on ne le prend pas en compte
Peut se traduire par : en laissant de côté ~; en ne prenant pas en compte ~";Nom + をぬきにして ou はぬきにして;"彼を抜きにして、パーティーを開くわけにはいかない。
Je ne peux pas me permettre de donner une fête en le laissant de côté。
前置きは抜きにして本題に入ろう。
Allons directement aux points principaux sans prendre en compte l'introduction。";;;;
N3;ように;"ように : comme ~; dans le but de ~";"1er sens
Peut se traduire par : comme ~; en suivant la manière de ~
2ème sens
Peut se traduire par : dans le but de ~; pour que ~
Indique de faire quelque chose de telle manière pour faire une autre chose";"Nom + の + ように
Verbe à la forme neutre (présent ou négatif) + ように
Verbe à la forme potentielle + ように";"氷のように冷たい。
Froid comme de la glace。
彼の言うようにしなさい。
Veuillez faire comme il dit。
天気予報に言ったように、今日は天気がよくない。
Comme ils l'ont annoncé à la météo; le temps sera mauvais aujourd'hui。
良い席が取れるように早く来た。
Je suis venu tôt pour pouvoir avoir un bon siège。
この花瓶を割らないように注意して下さい。
Veuillez faire attention à ne pas briser ce vase。";;;;
N3;J'envoie ce questionnaire dès que j'ai fini。;;;;;;;;
N3;私たちは雨が止み次第出発します。;;;;;;;;
N3;"Nous partirons aussitôt que la pluie se sera arrêtée。""";;;;;;;;
N3;Base verbale + ようがない;Base verbale + ようがない : il n'y a pas moyen de ~;Peut se traduire par : il n'y a pas moyen de ~;Verbe dans sa forme en ます et on remplace le ます par ようがない ou ようもない;"質問の意味はわからなくて、答えようがなかった。
Il n'y avait aucun moyen de répondre si l'on ne comprenait pas le sens de la question。
木村さんは今どこにいるのか分からないので、連絡しようがない。
Il n'y a aucun moyen de contacter Mr. Kimura car on ne sait pas où il se trouve à l'heure actuelle。
彼らの行動は言い訳しようがない。
Il n'y a aucun moyen d'excuser leur comportement。";;;;
N3;Base verbale + ようがない;Base verbale + ようがない : il n'y a pas moyen de ~;Peut se traduire par : il n'y a pas moyen de ~;Verbe dans sa forme en ます et on remplace le ます par ようがない ou ようもない;"質問の意味はわからなくて、答えようがなかった。
Il n'y avait aucun moyen de répondre si l'on ne comprenait pas le sens de la question。
木村さんは今どこにいるのか分からないので、連絡しようがない。
Il n'y a aucun moyen de contacter Mr. Kimura car on ne sait pas où il se trouve à l'heure actuelle。
彼らの行動は言い訳しようがない。
Il n'y a aucun moyen d'excuser leur comportement。";;;;
N3;だらけ;だらけ : plein de ~;"Peut se traduire par : plein de ~; pleine de ~
S'utilise pour exprimer quelque chose de négatif; de désagréable";"Nom + だらけ(だ)
Nom + だらけ + の + nom";"床は血だらけだった。
Le sol était couvert de sang。
せっけんだらけの手で私にさわらないで。
Ne me touche pas avec tes mains pleines de savon。
彼は泥だらけだった。
Il était couvert de boue。";;;;
