Niveau;Titre;Nom;Description;Construction;Exemples
N5;Forme en -ます;Forme en -ます : forme polie d'un verbe;"Forme polie; formelle d'un verbe";"Pour les verbes dits godan : 
On prend notre verbe dans sa forme neutre (du dictionnaire) On remplace le う final par います  
Pour les verbes dits ichidan : 
On prend notre verbe dans sa forme neutre (du dictionnaire) On remplace le る final par ます  
Pour les verbes irréguliers : 
する (faire) devient します 
くる (venir) devient きます 
なさる (faire) devient なさいます 
いらっしゃる (venir; arriver) devient いらっしゃいます おっしゃる (dire; parler) devient おっしゃいます 
くださる (donner; confier) devient くださいます 
ござる (être; se trouver) devient ございます  Pour les différentes formes : 
Présent affirmatif : -ます 
Présent négatif : -ません 
Passé affirmatif : -ました 
Passé négatif : -ませんでした";"１０分間待ちました。
J'ai attendu 10 minutes.
昨日お金を貸しませんでしたか。
Je ne t'ai pas prêté de l'argent hier ?"
N5;Forme en -ないでください;Forme en -ないでください : impératif poli;Sert à donner des ordres ou des consignes de manière polie Equivalent négatif de la forme en てください;"On prend notre verbe dans sa forme neutre au négatif présent : 
Pour un godan : on ajoute あない à la place du う final 
Pour un ichidan : on ajoute ない à la place du る final  On ajoute でください";"この書類に書かないでください。
N’écrivez pas sur ce document s'il vous plaît.
部屋にはノックなしで入らないでください。
Veuillez ne pas rentrer dans la pièce sans frapper.
"
N5;"Forme en -る; -う";"Forme en -る; -う : forme neutre ou du dictionnaire";"Forme de base d'un verbe; appelée aussi forme du dictionnaire S'emploie dans le langage informel";"Pour les verbes dits godan : 
Présent affirmatif : se terminent tous par : す; つ; う; る; く; ぐ; ぶ; む ou ぬ 
Présent négatif : on remplace le う final par あない 
Passé affirmatif : comme la forme en て en remplaçant le え final par un あ 
Passé négatif : on prend le négatif présent et on remplace ない par なかった  
Pour les verbes dits ichidan : 
Présent affirmatif : se terminent tous par いる ou える 
Présent négatif : on remplace le る final par ない 
Passé affirmatif : comme la forme en て en remplaçant le え final par un あ 
Passé négatif : on prend le négatif présent et on remplace ない par なかった  
Pour le verbe irrégulier する : 
Présent affirmatif : する 
Présent négatif : しない 
Passé affirmatif : した 
Passé négatif : しなかった  
Pour le verbe irrégulier くる : 
Présent affirmatif : くる 
Présent négatif : こない 
Passé affirmatif : きた 
Passé négatif : こなかった  
Exceptions : 
有る (ある) devient ない au présent négatif
 行く (いく) devient 行った (いった) au passé affirmatif  
いらっしゃる devient いらっしゃった au passé affirmatif  
Sens  Verbe forme neutre Présent négatif Passé affirmatif Passé négatif 
manger 食べる (たべる) [ichidan] 食べない 食べた 食べなかった  
se lever  起きる (おきる) [ichidan]  
pardonner 許す (ゆるす) [godan]  起きない  起きた  起きなかった  許さない  許した  許さなかった  
attendre  待つ (まつ) [godan]  待たない  待った  待たなかった 
penser  思う (おもう) [godan]  思わない  思った  思わなかった  
retourner  帰る (かえる) [godan]  帰らない  帰った  帰らなかった  
travailler  働く (はたらく) [godan]  働かない  働いた  働かなかった  
se dépêcher 急ぐ (いそぐ) [godan]  急がない  急いだ  急がなかった  
étudier  学ぶ (まなぶ) [godan]  学ばない  学んだ  学ばなかった  
boire  飲む (のむ) [godan]  飲まない  飲んだ  飲まなかった  
mourir  死ぬ (しぬ) [godan]  死なない  死んだ  死ななかった  
faire  する [irr.]  しない  した  しなかった  
venir  来る (くる) [irr.]  こない  きた  こなかった";"彼女は遠くまで行かなかった。
Elle n'est pas allée loin.
彼はめったに父に手紙を書かない。
Il n'écrit que rarement à son père.
"
N5;Forme en -たい;Forme en -たい : forme volitive;"Pour dire que l'on veut faire quelque chose Ne s'applique que pour exprimer ses désirs et pas ceux des autres (ne s'utilise que pour soi) 
Pour exprimer le désir de quelqu'un d'autre; on utilise がる avec les verbes et adjectifs en -い Version plus polie en ajoutant です 
Forme conditionnelle de -たい (si tu veux ~) : -たければ Peut se traduire par : vouloir ~";"On prend notre verbe dans sa forme en ます On ajoute たい à la place de ます 
On conjugue たい comme pour un adjectif en い :  
Présent affirmatif : -たい 
Présent négatif : -たくない 
Passé affirmatif : -たかった 
Passé négatif : -たくなかった";"別なのを買いたい。
Je veux en acheter un autre.
私はもう食べたくないです。
Je ne veux plus en manger.
七時の電車に乗りたければ、明日早く起きましょう。
Si tu veux prendre le train de 7:00; lève-toi tôt demain.
"
N5;Forme en -て;Forme en -て : forme verbale d'un verbe;"Forme employée pour exprimer une succession d'évènements dans le temps 
Les actions se suivent dans l'ordre chronologique : on fait ceci; puis cela; puis cela.

Peut aussi exprimer une relation de cause-conséquence entre deux verbes Sert de base pour de nombreuses formes où on peut :  
construire le temps continu (être en train de faire) adresser des requêtes polies (pourriez-vous faire) demander la permission de faire quelque chose (puis-je faire) .
.
.
";"Pour les verbes dits godan :
 Se termine par Changement Forme neutre  Forme en て  Sens  
う; る; つ  radical + って 買う (かう)  買って (かって)  acheter  
う; る; つ  radical + って 売る  (うる  売って (うって)  vendre  
う; る; つ  radical + って 待つ  (まつ)  待って (まって)  attendre  
む; ぶ; ぬ  radical + んで 進む  (すすむ) 進んで (すすんで) avancer  
む; ぶ; ぬ  radical + んで 遊ぶ  (あそぶ) 遊んで (あそんで) jouer  
む; ぶ; ぬ  radical + んで 死ぬ  (しぬ)  す  radical + して 直す (なおす)  直して (なおして) guérir  
く  radical + いて 歩く (あるく)  歩いて (あるいて) marcher  
ぐ  radical + いで 泳ぐ (およぐ)  泳いで (およいで) nager  
死んで (しんで)  mourir  

Pour les verbes dits ichidan : 
Forme neutre  Forme en て  Sens  
いる; える  radical + て 浴びる (あびる)  浴びて (あびて)  prendre un bain  
いる; える  radical + て 出る (でる)  出て (でて)  partir; sortir  
いる; える  radical + て 
忘れる  Se termine par Changement  (わすれる) 忘れて (わすれて) 
oublier  Pour les verbes irréguliers :    する --> して くる --> きて 行く (いく) --> いって";"川で泳いでいる子供たちが何人かいる。
Quelques enfants se baignent dans la rivière.
"
N5;が;が : particule du sujet;"Permet d'indiquer le sujet de la phrase 
Permet également d'introduire ou de demander une nouvelle information 
A la forme potentielle; la particule が remplace を pour indiquer le COD 

Peut également servir de conjonction en reliant deux phrases en marquant un contraste; une opposition Se traduit alors par : mais; par contre 

Dans une proposition relative; le sujet est marqué par la particule が 
La portée du が se limite à la proposition relative 
Si la relative ne contient qu'un verbe et un sujet; on peut également utiliser の à la place de が 

Avec un verbe intransitif (qui ne peut pas avoir d'objet direct); le sujet est marqué par la particule が : 
ドアが開きます(あきます) : la porte s'ouvre 
ドアが閉まります(しまります) : la porte se ferme 
電気(でんき)が付きます(つきます) : la lumière est allumée 
電気が消えます(きえます) : la lumière est éteinte 
いすが壊れます(こわれます) : la chaise est cassée 
道(みち)が込みます(こみます) : la rue est pleine de monde  

Avec ある et いる; le sujet est marqué par が 
Dans une forme plus littéraire; が sert également à marquer le possessif comme の";Nom + が Verbe à la forme neutre + が;"私は母が書いた手紙を読みました。
J'ai lu la lettre que ma mère m'avait écrit.
私は犬が好きだが、妹は猫が好きだ。
J'aime les chiens tandis que ma soeur aime les chats.
ちょっと疲れましたが、楽しかったです。
Je suis un peu fatigué; mais j'ai passé un bon moment.
すみませんが、ゆっくり話してください。
Excusez-moi mais; veuillez parler doucement s'il vous plait.
電車が止まりました。
Le train est arrêté.
猫が餌を食べた。
C'est le chat qui a mangé la nourriture.
我が国。
Notre pays.
"
N5;は;は : particule de thème;"Permet d'indiquer ou d'introduire le thème de la phrase (ce dont on parle) 
On porte notre attention sur l'action de la phrase (verbe ou adjectif en い) 
La particule が permet quant à elle de porter notre attention sur le sujet de la phrase 

A également une valeur contrastive; à la différence de も 
On met en contraste deux éléments dans notre phrase; souvent la situation actuelle et d'autres possibles 

Pour différencier l'emploi de は et が sur le sujet et le thème de la phrase; on peut essayer de poser la question qui permet de répondre au mieux à notre phrase.
On peut ainsi voir si on insiste plus sur le sujet (が) ou sur le thème (は) de phrase.
";Nom + は;"彼女はテレビを見ています。
Elle est en train de regarder la TV.
田中先生は私たちの英語の先生です。
Monsieur Tanaka est notre professeur d'anglais.
その神社は２００年前に建てられた。
Ce sanctuaire fut construit il y a 200 ans.
"
N5;はいけません;はいけません : exprimer l'interdiction ou l'impossibilité;"Exprime une interdiction assez stricte 
Ne s'utilise que dans les cas où un rapport d'autorité entre les personnes est clairement défini
On peut utiliser cette forme avec une double-négation pour dire : on doit faire ~";"On prend notre verbe à la forme en -て
 On ajoute はいけません ou une des formes suivantes : はなりません : 
langage formel はいけません : langage formel はならない : langage informel はいけない : l
angage informel はだめだ : langage informel verbe avec ちゃ à la place du て final + だめ : 
langage familier  Pour dire ‘on doit faire ~’ avec la double négation : 
On prend notre verbe à la forme neutre négatif (-ない) On remplace le い final par くてはいけません";"長生きしたければ煙草を吸っちゃだめだよ。
Si vous voulez vivre longtemps ne fumez pas.
歩道で自転車に乗ってはいけません。
On ne doit pas roulez en vélo sur le trottoir.
目を閉じてはいけない。
Ne fermez pas vos yeux.
この薬を飲まなくてはいけません。
Tu dois prendre ce médicament.
"
N5;ほうがいい;ほうがいい : être préférable de faire quelque chose;"Exprime la suggestion : ferait mieux de; devrait faire Utilisée pour donner un conseil sur quelque chose 
ほう : 方 : méthode; manière 
いい : 良い : bien; bon 
S'emploie encore mieux dans des cas où on doit exprimer une méthode ou un choix préféré 
On peut également l'utiliser pour montrer un choix personnel pour quelque chose Version plus polie en ajoutant です après";Verbe à la forme neutre passé (-た) ou négative (-ない) + ほうがいい Nom + のほうがいい;"彼女に電話したほうがいい。
Je ferais mieux de l'appeler.
今日電車で行ったほうがいい。
Aujourd'hui; ce serait mieux d'y aller en train.
事故のことはお父さんに言わないほうがいいよ。
Tu as bien fait de ne pas parler de l'accident à ton père.
焼肉のほうがいい。
Je préférerai de la viande grillée.
話したほうがいいです。
Il ferait mieux de parler.
"
N5;か;"か : particule d'interrogation; d'énumération";Placé en fin de phrase : valeur d'interrogation Placé entre plusieurs noms : ou (choix entre les différents éléments);Phrase + か Nom + か + nom;"玉ねぎか大蒜かじゃが芋。
De l'oignon ou de l'ail ou des pommes de terre.
この穿山甲は親切ですか。
Ce pangolin est-il gentil ?"
N5;から et まで;から et まで : particules marquant un point de départ et de destination;"から : marque un point d'origine ou un point de départ dans le temps ou un lieu (= de ~) 
まで : désigne un point de destination temporel ou géographique (= jusqu'à ~/à ~)";Nom + から Nom + まで;"雪は月曜日から金曜日まで降った。
Il a neigé de lundi à vendredi.
朝から晩まで。
Du matin au soir.
空港まで送るよ。
Je t'amène jusqu'à l'aéroport.
"
N5;から et ので;から et ので : exprimer la raison ou la cause;"Pour exprimer la raison ou la cause entre deux propositions

 Quand la raison est exprimée par un groupe nominal; on utilise で

から peut s'employer dans tous les cas から exprime la relation de cause à effet; que la relation soit subjective ou objective 
ので s'emploie quand le locuteur pense que l'explication qu'il fournit peut être considérée comme acceptable par son interlocuteur 

ので ne peut pas s'employer quand : 

le locuteur ne présente pas un fait mais une supposition 
le locuteur exprime une opinion ou une volonté personnelle 
La proposition principale est une demande; une invitation ou une suggestion";Proposition subordonnée + から ou ので + proposition principale;"彼は本を読んでいるからそっとしておこう。
Comme il est en train de lire un livre; laissons-le tranquille.
気が散るからテレビを消してくれ。
Comme ça me déconcentre; pourrais-tu m'éteindre la télévision.
道が凍っているから気を付けなさい。
Comme la route est gelée; fais bien attention à toi.
彼は病気なので顔色が悪い。
Du fait qu'il est malade; il a le teint un peu pâle.
貧しいので買えない。
Parce que je suis pauvre; je ne peux pas l'acheter.
"
N5;ことができる;ことができる : être capable de faire;"Indique qu'on l'on est capable de réaliser une action; que l'on a les moyens pour le faire";"Verbe à la forme neutre + ことができる 
On conjugue できる au temps voulu comme un verbe ichidan";"質問にちゃんと答えることができませんでした。
Je n’ai pas été capable de répondre correctement à la question.
彼は英語を話すことができますか。
Peut-il parler anglais ? 彼は自由に金を使うことができる。
Il est libre de dépenser son argent.
"
N5;まえに;前に (まえに) : avant de ~;"Peut se traduire par : avant de ~; avant le ~";Verbe à la forme neutre + 前に Nom + の前に;"彼女は食事の前に汚れた手を洗った。
Elle a lavé ses mains sales avant le repas.
彼は答える前にためらった。
Il a hésité avant de répondre.
"
N5;も;"も : ~ aussi; ~ non plus";"Pour signifier la similitude ou l'ajout 
Peut remplacer directement les particules は et が 
Peut s'ajouter aux particules に; から et で 
S'utilise quand le locuteur adhère à ce qui a été dit juste avant 
Avec de l'affirmatif; on peut le traduire par : ~ aussi 
Avec du négatif; on peut le traduire par : ~ non plus";Nom + も;"私も１７歳です。
J'ai moi aussi 17 ans.
あなたがコンサートに行かないなら私も行きません。
Si tu ne vas pas au concert; alors moi non plus je n'irais pas.
私にも同じものをください。
Donnez moi également la même chose s'il vous plaît.
その老人はだれからも愛されていた。
Ce vieil homme était également aimé par tout le monde.
"
N5;もう et まだ;"もう et まだ : déjà ~; ne ~ plus; encore ~; pas encore ~";"Deux adverbes dont le sens changent suivant que le verbe soit affirmatif ou négatif もう 

Avec de l'affirmatif : déjà ~ L'action est terminée au moment présent Souvent accompagné d'un verbe au passé  
Avec du négatif : ne ~ plus L'action qui avait lieu auparavant est maintenant terminée et n'a plus lieu  まだ 
Avec de l'affirmatif : encore ~ L'action qui était en cours persiste encore maintenant  
Avec du négatif : pas encore ~ L'action qui n'était pas en cours n'est toujours pas réalisée";もう ou まだ + verbe;"宿題はもう終わりましたか。
As-tu déjà fini tes devoirs ? もう彼に会わない。
Je ne le verrai plus.
私の腕はまだ痛む。
Mon bras me fait encore mal.
彼はまだ来ない。
Il n'est pas encore venu.
"
N5;もいいです;もいいです : demander la permission;"Utiliser pour demander à quelqu'un la permission de faire ou ne pas faire quelque chose Peut se traduire par :
 
Est ce que cela vous gêne si ~ ? 
Cela vous dérange-t-il si ~ ? 
Est-ce que je peux ~ ? Tu peux ne pas ~";"Permission de faire quelque chose 

On prend notre verbe à la forme en -て 
On ajoute もいいです ou une des formes suivantes : 

もよろしいです : langage formel 
もかまいません : langage formel 
もかまわない : langage informel 
もいい : langage informel 
いい : langage familier  

Permission de ne pas faire quelque chose
 
On prend notre verbe à la forme neutre au négatif (-ない) 
On remplace le い final par くて 
On ajoute もいいです ou une des formes suivantes :
 
もよろしいです : langage formel 
もかまいません : langage formel 
もかまわない : langage informel 
もいい : langage informel 
いい : langage familier";"入ってもいいですか。
Est-ce que je peux entrer ?   明朝お宅に伺ってもよろしいですか。
Puis-je vous en parler demain matin chez vous ? 窓を開けてもかまわないでしょうか。
Est-ce que ca vous ennuie si j'ouvre la fenêtre ? 疲れているならそんなに一生懸命勉強しなくてもいいです。
Si tu es fatigué; tu peux ne pas travailler aussi durement que cela.
"
N5;"もっとも; いちばん et さい";"最も (もっとも); 一番  (いちばん) et 最  (さい) : le superlatif";"Le superlatif permet d'exprimer un degré élevé pour un adjectif 
最も : le plus ~ 
一番 : le premier en terme de ~ 

Certains adjectifs ont déjà une forme toute faite avec 最 : 

最高 (さいこう) : le meilleur 
最低 (さいてい) : le pire 
最小 (さいしょう) : le minimum 
最大 (さいだい) : le maximum 
最近 (さいきん) : le plus récent 
最初 (さいしょ) : le premier 
最後 (さいご) : le dernier 
最強 (さいきょう) : le plus fort .
.
.
";"最も + adjectif
 一番 + adjectif Adjectif formé avec 最 + の + nom";"パリは世界で最も美しい街である。
Paris est la plus belle ville du monde.
明らかにこれが最も重要な点です。
C'est clairement le point le plus important.
太陽は一番明るい星だ。
Le Soleil est l'étoile la plus brillante.
日曜日が一週間の最初の日です。
Dimanche est le premier jour de la semaine.
"
N5;など;"など : etc; entre autres choses; par exemple";"Permet de faire une énumération incomplète au même titre que や 
Peut se traduire par : ~ par exemple; et cætera; des choses comme ~ entre autres; par exemple 
S'utilise principalement pour finir l'énumération d'une liste conséquente de choses";Nom + など;"事故などはなにもありませんでした。
Je n'ai pas eu d'accidents ou quoi que ce soit d'autre du genre.
２、４、６などは偶数です。
2; 4; 6 .
.
.
sont des nombres pairs.
聴衆の中には学生、教師、事務員などがいた。
Parmi le public; il y avait des étudiants; des professeurs; des employés etc.
"
N5;なければなりません;なければなりません : exprimer l'obligation;"Sert à indiquer l’obligation 

Peut se traduire par : devoir faire ~; être obligé de faire ~ 
S'utilise quand on a l'obligation de faire quelque chose ou lorsque l'on n'a pas d'autres choix que de faire quelque chose";"On prend notre verbe à la forme neutre (forme du dictionnaire) 
On le met au négatif présent (-ない)
On remplace le い final par un des suffixes suivants pour l’obligation : 

ければなりません : langage formel 
ければいけません : langage formel 
ければいけない : langage informel 
ければならない : langage informel 
きゃだめだ : langage familier 
きゃ : langage vulgaire";"早く寝なければいけない。
Il faut que tu te couches tôt.
通りを渡るときは注意しなければなりません。
Tu dois être prudent lorsque tu traverses la route.
ごめん帰らなきゃ。
Désolé; je dois partir.
"
N5;なる;なる : devenir;"Permet d'indiquer que quelque chose a subi un changement; s'est changer en ~; est devenu ~ 
なる se conjugue comme un verbe godan : なる・なります・なって";"Nom + になる 
Adjectif en -な avec に à la place du な final + なる 
Adjectif en -い avec く à la place du い final + なる";"大きくなったら、英語の先生になりたい。
Quand je serais grand; je voudrais devenir professeur d'anglais.
年を取ればとるほど、言語の習得は難しくなる。
Plus on devient vieux et plus l'apprentissage d'une langue devient difficile.
日毎に寒くなってくる。
Le temps se refroidit quotidiennement.
一人一人が戸口を掃けば、町はきれいになる。
Si chacun balayait devant son entrée; la ville deviendrait propre.
森の中は再び静かになった。
C'est redevenu silencieux dans la forêt.
"
N5;ね;ね : particule de confirmation et d'invitation;"Particule de fin de phrase ajoutant une nuance de sens Parmi ces sens; on peut avoir : 

demander ou montrer une confirmation (pas vrai ?; d'accord ?; non ?) 
adoucir une invitation (entendu hein ?) 
retenir l'attention de notre interlocuteur (uniquement en début de phrase)  

S'utilise quasi-exclusivement à l'oral";Phrase + ね;"よい天気ですね。
散歩でもしたらどうですか。
Belle journée; non ? Pourquoi ne pas aller se balader ? 明日来てね。
Tu viens demain; d'accord ? ね、いま何時？ Hey; quelle heure est-il ?"
N5;に;"に : particule pour l'objet indirect; la direction; la place";"Pour indiquer un objet indirect 
Particule pour indiquer la direction; la place; l’heure ou la date 
Avec les verbes 乗る（のる） et 登る（のぼる）; on utilise に et non を pour marquer le COD";Nom + に;"彼女に言うな。
Ne lui en parle pas.
彼女は木の下に座っていた。
Elle était assise sous un arbre.
彼らは地下鉄に行きました。
Ils allèrent dans le métro.
卒業式は三月二十日に行われます。
La cérémonie de remise des diplômes aura lieu le 20 Mars.
朝６時半に目を覚まします。
Je me réveille à six heures et demie du matin.
車に乗って。
Monte dans la voiture.
猿は木に登る。
Les singes grimpent aux arbres.
"
N5;の;"の : particule de possession; d'interrogation";"Indique la possession 
Sert pour relier certains adjectifs au nom qu'ils qualifient 
Pour lier des prépositions; transformer un nom en objet de la préposition 
Manière informelle ou plus adoucie pour indiquer une question";Adjectif + の + nom Nom + の + nom Phrase + の;"私のです。
C'est le mien.
沢山の人がいた。
Il y avait beaucoup de personnes.
ゆうこさんからの手紙です。
C'est une lettre de la part de Yûko.
何時に来るの。
A quelle heure arrives-tu ?"
N5;のです;"のです : nuance explicative; montrer son intérêt; atténuation";"1er sens のです peut avoir une valeur explicative On peut s'en servir pour présenter ou expliquer quelque chose Peut se traduire par : c'est que ~; c'est parce que ~ 2ème sens Permet d'exprimer son intérêt dans quelque chose; montrer que l'on s'intéresse à quelqu'un ou faire passer un sentiment personnel 3ème sens Permet d'atténuer un peu ses propos et d'utiliser une forme un peu plus polie que la simple utilisation de la forme neutre A l'oral; のです est souvent abrégé en んです ou んだ";Verbe à la forme neutre + のです;"私は子供が好きです。
そういうわけで教師になったのです。
J'adore les enfants.
C'est pour cela que je suis devenu instituteur.
こんにちは！ここで働かれているんですか。
Salut ! Est-ce que tu travailles ici ? うん、まだどうするか決めてないんだ。
Euh; je n'ai pas encore décidé de ce que j'allais faire.
"
N5;と;"と : conjonction; préposition; citation; conditionnel";"1er sens 
Peut se traduire par la conjonction ""et"" pour lier plusieurs mots La liste de mots est dite fermée; 
c'est-à-dire complète (ceci et cela; mais rien d'autre en plus) 

2ème sens Peut se traduire par la préposition ""avec"" 

3ème sens Peut être utilisée pour faire des citations directes ou indirectes 

Exemple de verbes qui requièrent souvent la particule と : 
~と申します (ともうします) : s'appeler ~ 
~と叫びます (とさけびます) : crier ~ 
~と聞きます (とききます) : demander; entendre ~ 
~と言います (といいます) : dire ~
 ~と思います (とおもいます) : penser ~ ~
と呼びます (とよびます) : appeler ~ 
~と書きます (とかきます) : écrire ~ 
~と考えます (とかんがえます) : réfléchir à 

~  4ème sens と peut être utilisée pour utiliser une des formes du conditionnel 
Plus de détail sur le point de grammaire concerné : conditionnel en -to";Nom + と + nom Nom + と + verbe Phrase + と + phrase;"私たちは猫と犬を飼っている。
Nous avons un chien et un chat.
彼は彼女と結婚することに決めた。
Il s'est décidé à se marier avec elle.
私は君が成功したと聞いてとてもうれしい。
Je suis très heureux d'entendre que tu as réussi.
彼女は自分が無事だと叫んだ。
Elle cria qu'elle allait bien.
このボタンを押すと機械が作動します。
Si tu presses ce bouton; la machine démarrera.
"
